"",BBK01.BJ2180,BBK01.BJ2180_FLAGS
"",General government budgetary position (Germany) - total revenue,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:35:12,
1991,657578,
1992,734238,
1993,762897,
1994,816243,
1995,851267,
1996,851584,
1997,871891,
1998,902682,
1999,925215,
2000,974596,
2001,923305,
2002,921688,
2003,925212,
2004,927058,
2005,947561,
2006,987361,
2007,1023626,
2008,1055077,
2009,1013447,
2010,1033693,
2011,1104164,
2012,1170000,Provisional value
2013,1198515,Provisional value
"","General: For Germany as a whole (excluding hospitals with commercial accounting practices, excluding supplementary pension funds for public sector employees)",
