"",BBK01.OEYB22T,BBK01.OEYB22T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:47,
2002-01,0.019,
2002-04,0.023,
2002-07,0.028,
2002-10,0.031,
2003-01,0.032,
2003-04,0.032,
2003-07,0.033,
2003-10,0.027,
2004-01,0.054,
2004-04,0.024,
2004-07,0.030,
2004-10,0.048,
2005-01,0.068,
2005-04,0.082,
2005-07,0.102,
2005-10,0.096,
2006-01,0.077,
2006-04,0.080,
2006-07,0.063,
2006-10,0.059,
2007-01,0.063,
2007-04,0.062,
2007-07,0.065,
2007-10,0.055,
2008-01,0.052,
2008-04,0.052,
2008-07,0.054,
2008-10,0.064,
2009-01,0.065,
2009-04,0.063,
2009-07,0.061,
2009-10,0.066,
2010-01,0.067,
2010-04,-,Nothing exists
2010-07,-,Nothing exists
2010-10,0.001,
2011-01,0.011,
2011-04,0.005,
2011-07,0.007,
2011-10,0.015,
2012-01,0.011,
2012-04,0.019,
2012-07,0.026,
2012-10,0.016,
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,0.003,
2013-10,0.004,
2014-01,-,Nothing exists
2014-04,0.004,
2014-07,0.017,
