"",BBFB1.Q.N.DE.FI.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FI.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:10,
1991-01,122.524,
1991-04,135.266,
1991-07,144.213,
1991-10,146.948,
1992-01,154.680,
1992-04,144.094,
1992-07,140.427,
1992-10,136.970,
1993-01,170.525,
1993-04,169.024,
1993-07,155.773,
1993-10,180.033,
1994-01,83.367,
1994-04,83.896,
1994-07,91.447,
1994-10,80.449,
1995-01,15.723,
1995-04,17.373,
1995-07,7.593,
1995-10,13.884,
1996-01,21.127,
1996-04,175.907,
1996-07,32.328,
1996-10,15.467,
1997-01,38.626,
1997-04,47.888,
1997-07,45.279,
1997-10,45.130,
1998-01,76.175,
1998-04,86.690,
1998-07,76.792,
1998-10,66.728,
1999-01,67.598,
1999-04,84.675,
1999-07,43.877,
1999-10,74.561,
2000-01,66.249,
2000-04,124.620,
2000-07,92.980,
2000-10,84.401,
2001-01,2.835,
2001-04,44.901,
2001-07,-113.188,
2001-10,-17.460,
2002-01,-157.556,
2002-04,-148.724,
2002-07,-271.749,
2002-10,-294.620,
2003-01,20.468,
2003-04,96.060,
2003-07,-10.953,
2003-10,-59.377,
2004-01,88.718,
2004-04,194.653,
2004-07,61.727,
2004-10,79.007,
2005-01,222.369,
2005-04,293.026,
2005-07,159.371,
2005-10,248.246,
2006-01,409.232,
2006-04,501.340,
2006-07,384.515,
2006-10,470.018,
2007-01,266.944,
2007-04,407.239,
2007-07,205.896,
2007-10,192.845,
2008-01,-718.098,
2008-04,667.963,
2008-07,846.705,
2008-10,227.885,
2009-01,189.707,
2009-04,284.602,
2009-07,297.528,
2009-10,448.911,
2010-01,167.407,
2010-04,231.341,
2010-07,154.622,
2010-10,167.359,
2011-01,462.354,
2011-04,551.982,
2011-07,488.184,
2011-10,516.305,
2012-01,564.214,
2012-04,632.101,
2012-07,572.753,
2012-10,569.951,
2013-01,365.246,
2013-04,400.688,
2013-07,335.269,
2013-10,337.092,
2014-01,338.910,Provisional value
2014-04,404.139,Provisional value
2014-07,348.036,Provisional value
