"",BBK01.OECI07T,BBK01.OECI07T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:04,
2002-01,0.591,
2002-04,0.391,
2002-07,0.396,
2002-10,0.430,
2003-01,0.439,
2003-04,0.435,
2003-07,0.460,
2003-10,0.456,
2004-01,0.450,
2004-04,0.449,
2004-07,0.478,
2004-10,0.595,
2005-01,1.349,
2005-04,1.337,
2005-07,1.328,
2005-10,1.334,
2006-01,1.316,
2006-04,1.286,
2006-07,1.255,
2006-10,1.245,
2007-01,1.251,
2007-04,1.241,
2007-07,1.212,
2007-10,1.225,
2008-01,1.211,
2008-04,1.228,
2008-07,1.199,
2008-10,1.192,
2009-01,1.239,
2009-04,1.279,
2009-07,1.364,
2009-10,1.399,
2010-01,1.407,
2010-04,1.410,
2010-07,1.427,
2010-10,1.436,
2011-01,1.430,
2011-04,1.388,
2011-07,1.346,
2011-10,1.352,
2012-01,1.444,
2012-04,1.415,
2012-07,1.424,
2012-10,1.473,
2013-01,1.444,
2013-04,1.431,
2013-07,1.415,
2013-10,1.410,
2014-01,1.395,
2014-04,1.376,
2014-07,1.419,
