"",BBK01.OEBO06S,BBK01.OEBO06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:29,
2002-01,1.078,
2002-04,0.955,
2002-07,0.951,
2002-10,0.962,
2003-01,0.919,
2003-04,0.878,
2003-07,0.901,
2003-10,0.867,
2004-01,0.830,
2004-04,0.801,
2004-07,0.812,
2004-10,0.834,
2005-01,1.804,
2005-04,1.793,
2005-07,1.778,
2005-10,1.796,
2006-01,1.821,
2006-04,1.816,
2006-07,1.748,
2006-10,1.764,
2007-01,1.906,
2007-04,1.935,
2007-07,1.950,
2007-10,2.047,
2008-01,2.095,
2008-04,2.151,
2008-07,2.147,
2008-10,2.272,
2009-01,2.258,
2009-04,2.262,
2009-07,2.316,
2009-10,2.304,
2010-01,2.259,
2010-04,2.212,
2010-07,2.213,
2010-10,2.300,
2011-01,2.353,
2011-04,2.333,
2011-07,2.327,
2011-10,2.322,
2012-01,2.391,
2012-04,2.371,
2012-07,2.358,
2012-10,2.368,
2013-01,2.319,
2013-04,2.266,
2013-07,2.234,
2013-10,2.227,
2014-01,2.208,
2014-04,2.155,
2014-07,2.237,
