"",BBK01.OEAF07P,BBK01.OEAF07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:10,
2002-01,0.305,
2002-04,0.322,
2002-07,0.335,
2002-10,0.318,
2003-01,0.300,
2003-04,0.297,
2003-07,0.296,
2003-10,0.279,
2004-01,0.258,
2004-04,0.255,
2004-07,0.260,
2004-10,0.249,
2005-01,0.226,
2005-04,0.227,
2005-07,0.234,
2005-10,0.223,
2006-01,0.227,
2006-04,0.218,
2006-07,0.220,
2006-10,0.212,
2007-01,0.202,
2007-04,0.204,
2007-07,0.207,
2007-10,0.202,
2008-01,0.206,
2008-04,0.206,
2008-07,0.213,
2008-10,0.196,
2009-01,0.216,
2009-04,0.220,
2009-07,0.221,
2009-10,0.213,
2010-01,0.203,
2010-04,0.199,
2010-07,0.200,
2010-10,0.189,
2011-01,0.183,
2011-04,0.185,
2011-07,0.188,
2011-10,0.174,
2012-01,0.171,
2012-04,0.168,
2012-07,0.168,
2012-10,0.165,
2013-01,0.161,
2013-04,0.157,
2013-07,0.157,
2013-10,0.148,
2014-01,0.146,
2014-04,0.143,
2014-07,0.150,
