"",BBFN1.M.DE.N.1.L.TW.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.TW.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"","Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / China, Taiwan",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:25,
1994-07,0.674,
1994-08,0.681,
1994-09,0.571,
1994-10,0.584,
1994-11,0.671,
1994-12,0.690,
1995-01,0.648,
1995-02,0.662,
1995-03,0.689,
1995-04,0.601,
1995-05,0.678,
1995-06,0.595,
1995-07,0.693,
1995-08,0.714,
1995-09,0.679,
1995-10,0.614,
1995-11,0.683,
1995-12,0.764,
1996-01,0.785,
1996-02,0.829,
1996-03,0.855,
1996-04,0.878,
1996-05,0.881,
1996-06,0.730,
1996-07,0.741,
1996-08,0.707,
1996-09,0.637,
1996-10,0.681,
1996-11,0.706,
1996-12,0.676,
1997-01,0.715,
1997-02,0.719,
1997-03,0.748,
1997-04,0.767,
1997-05,0.751,
1997-06,0.719,
1997-07,0.721,
1997-08,0.722,
1997-09,0.782,
1997-10,0.802,
1997-11,0.795,
1997-12,0.629,
1998-01,0.629,
1998-02,0.634,
1998-03,0.652,
1998-04,0.674,
1998-05,0.642,
1998-06,0.651,
1998-07,0.699,
1998-08,0.722,
1998-09,0.734,
1998-10,0.733,
1998-11,0.754,
1998-12,0.834,
1999-01,0.809,
1999-02,0.785,
1999-03,0.850,
1999-04,0.839,
1999-05,0.912,
1999-06,0.917,
1999-07,0.870,
1999-08,0.939,
1999-09,1.063,
1999-10,1.138,
1999-11,1.178,
1999-12,1.108,
2000-01,1.109,
2000-02,1.118,
2000-03,1.092,
2000-04,1.089,
2000-05,1.056,
2000-06,0.840,
2000-07,0.858,
2000-08,0.985,
2000-09,1.085,
2000-10,1.228,
2000-11,1.222,
2000-12,1.068,
2001-01,0.975,
2001-02,0.998,
2001-03,0.942,
2001-04,0.957,
2001-05,0.947,
2001-06,0.964,
2001-07,0.859,
2001-08,0.976,
2001-09,1.010,
2001-10,1.050,
2001-11,1.123,
2001-12,1.109,
2002-01,1.051,
2002-02,1.086,
2002-03,1.055,
2002-04,0.899,
2002-05,1.050,
2002-06,1.184,
2002-07,1.130,
2002-08,1.088,
2002-09,1.286,
2002-10,1.333,
2002-11,1.256,
2002-12,1.290,
2003-01,1.293,
2003-02,1.123,
2003-03,1.077,
2003-04,1.066,
2003-05,1.033,
2003-06,1.023,
2003-07,0.996,
2003-08,1.064,
2003-09,1.145,
2003-10,1.206,
2003-11,1.261,
2003-12,1.200,
2004-01,1.092,
2004-02,1.109,
2004-03,1.189,
2004-04,1.148,
2004-05,1.143,
2004-06,1.132,
2004-07,1.087,
2004-08,1.158,
2004-09,1.048,
2004-10,1.134,
2004-11,1.169,
2004-12,1.152,
2005-01,1.064,
2005-02,0.992,
2005-03,1.090,
2005-04,1.013,
2005-05,1.057,
2005-06,1.058,
2005-07,0.968,
2005-08,1.027,
2005-09,1.183,
2005-10,1.227,
2005-11,1.271,
2005-12,1.331,
2006-01,1.284,
2006-02,1.332,
2006-03,1.242,
2006-04,1.172,
2006-05,1.272,
2006-06,1.126,
2006-07,1.143,
2006-08,1.310,
2006-09,1.349,
2006-10,1.411,
2006-11,1.433,
2006-12,1.300,
2007-01,1.338,
2007-02,1.313,
2007-03,1.349,
2007-04,1.264,
2007-05,1.259,
2007-06,1.206,
2007-07,1.195,
2007-08,1.280,
2007-09,1.118,
2007-10,1.168,
2007-11,1.210,
2007-12,1.109,
2008-01,1.118,
2008-02,1.092,
2008-03,1.128,
2008-04,1.078,
2008-05,0.999,
2008-06,1.072,
2008-07,1.199,
2008-08,1.043,
2008-09,1.072,
2008-10,1.095,
2008-11,1.154,
2008-12,1.067,
2009-01,0.908,
2009-02,0.889,
2009-03,0.850,
2009-04,0.844,
2009-05,0.819,
2009-06,0.842,
2009-07,0.867,
2009-08,0.868,
2009-09,0.937,
2009-10,0.920,
2009-11,0.923,
2009-12,0.930,
2010-01,0.900,
2010-02,0.908,
2010-03,0.948,
2010-04,0.967,
2010-05,0.927,
2010-06,0.947,
2010-07,0.974,
2010-08,0.979,
2010-09,1.013,
2010-10,1.014,
2010-11,1.024,
2010-12,1.061,
2011-01,1.035,
2011-02,0.999,
2011-03,0.991,
2011-04,0.982,
2011-05,0.979,
2011-06,1.024,
2011-07,0.991,
2011-08,0.957,
2011-09,1.012,
2011-10,1.023,
2011-11,1.036,
2011-12,1.076,
2012-01,1.041,
2012-02,1.030,
2012-03,1.047,
2012-04,1.125,
2012-05,1.105,
2012-06,1.046,
2012-07,1.045,
2012-08,1.039,
2012-09,1.069,
2012-10,1.091,
2012-11,1.166,
2012-12,1.077,
2013-01,1.044,
2013-02,1.018,
2013-03,0.960,
2013-04,0.943,
2013-05,0.952,
2013-06,0.975,
2013-07,0.915,
2013-08,0.914,
2013-09,0.998,
2013-10,0.970,
2013-11,0.997,
2013-12,1.004,
2014-01,0.971,
2014-02,0.969,
2014-03,0.984,
2014-04,0.995,
2014-05,1.013,
2014-06,1.010,
2014-07,1.008,
2014-08,1.012,
2014-09,0.999,
2014-10,1.010,
2014-11,1.011,
2014-12,1.029,
