"",BBDE1.M.DE.Y.AEB5.A2R200050.F.V.I10.A,BBDE1.M.DE.Y.AEB5.A2R200050.F.V.I10.A_FLAGS
"","Orders received from abroad / At current prices, flows / Germany / 20+21 Manufacture of chemicals, chemical products; basic pharmaceutical products and pharmaceutical preparations / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:48,
1991-01,46.1,
1991-02,46.1,
1991-03,43.9,
1991-04,45.5,
1991-05,45.1,
1991-06,43.1,
1991-07,46.9,
1991-08,46.5,
1991-09,44.8,
1991-10,47.5,
1991-11,47.4,
1991-12,46.2,
1992-01,45.2,
1992-02,46.1,
1992-03,45.5,
1992-04,44.0,
1992-05,45.3,
1992-06,45.1,
1992-07,42.9,
1992-08,43.7,
1992-09,42.1,
1992-10,41.2,
1992-11,42.5,
1992-12,40.9,
1993-01,40.3,
1993-02,43.9,
1993-03,40.9,
1993-04,41.5,
1993-05,42.3,
1993-06,41.2,
1993-07,41.7,
1993-08,43.7,
1993-09,41.6,
1993-10,42.7,
1993-11,44.3,
1993-12,44.0,
1994-01,45.2,
1994-02,46.4,
1994-03,46.9,
1994-04,45.6,
1994-05,45.5,
1994-06,45.6,
1994-07,46.2,
1994-08,46.8,
1994-09,50.6,
1994-10,50.0,
1994-11,49.9,
1994-12,53.8,
1995-01,53.8,
1995-02,52.6,
1995-03,52.6,
1995-04,53.8,
1995-05,52.7,
1995-06,55.2,
1995-07,54.0,
1995-08,53.0,
1995-09,53.4,
1995-10,51.6,
1995-11,50.1,
1995-12,52.3,
1996-01,52.0,
1996-02,50.7,
1996-03,52.9,
1996-04,53.8,
1996-05,54.7,
1996-06,52.4,
1996-07,53.7,
1996-08,53.6,
1996-09,54.6,
1996-10,54.8,
1996-11,55.7,
1996-12,55.5,
1997-01,57.3,
1997-02,57.9,
1997-03,60.3,
1997-04,61.0,
1997-05,60.9,
1997-06,59.5,
1997-07,61.1,
1997-08,61.7,
1997-09,63.2,
1997-10,63.5,
1997-11,59.8,
1997-12,65.9,
1998-01,62.7,
1998-02,60.8,
1998-03,61.5,
1998-04,59.5,
1998-05,59.0,
1998-06,60.3,
1998-07,58.0,
1998-08,57.9,
1998-09,56.2,
1998-10,53.8,
1998-11,52.7,
1998-12,56.2,
1999-01,56.7,
1999-02,55.9,
1999-03,55.9,
1999-04,60.6,
1999-05,60.3,
1999-06,56.9,
1999-07,61.9,
1999-08,61.6,
1999-09,60.3,
1999-10,63.0,
1999-11,66.6,
1999-12,64.4,
2000-01,63.9,
2000-02,66.0,
2000-03,68.7,
2000-04,67.3,
2000-05,68.2,
2000-06,71.0,
2000-07,72.7,
2000-08,72.5,
2000-09,76.0,
2000-10,75.6,
2000-11,75.2,
2000-12,75.9,
2001-01,72.8,
2001-02,70.7,
2001-03,70.5,
2001-04,71.5,
2001-05,69.6,
2001-06,73.4,
2001-07,70.8,
2001-08,72.8,
2001-09,67.7,
2001-10,69.4,
2001-11,67.0,
2001-12,65.5,
2002-01,69.8,
2002-02,70.4,
2002-03,73.0,
2002-04,74.8,
2002-05,74.2,
2002-06,72.5,
2002-07,73.4,
2002-08,72.2,
2002-09,74.8,
2002-10,68.1,
2002-11,75.3,
2002-12,72.3,
2003-01,73.7,
2003-02,75.4,
2003-03,74.8,
2003-04,73.2,
2003-05,71.4,
2003-06,71.8,
2003-07,73.2,
2003-08,73.6,
2003-09,72.0,
2003-10,76.2,
2003-11,71.9,
2003-12,77.7,
2004-01,76.5,
2004-02,75.2,
2004-03,74.5,
2004-04,78.5,
2004-05,77.4,
2004-06,77.3,
2004-07,80.3,
2004-08,81.6,
2004-09,82.5,
2004-10,82.7,
2004-11,83.1,
2004-12,87.7,
2005-01,86.7,
2005-02,85.4,
2005-03,86.1,
2005-04,84.1,
2005-05,84.9,
2005-06,84.3,
2005-07,87.2,
2005-08,87.9,
2005-09,89.2,
2005-10,89.3,
2005-11,88.2,
2005-12,93.6,
2006-01,90.3,
2006-02,89.8,
2006-03,89.8,
2006-04,91.3,
2006-05,93.0,
2006-06,93.8,
2006-07,94.6,
2006-08,95.0,
2006-09,96.6,
2006-10,97.9,
2006-11,100.2,
2006-12,95.5,
2007-01,97.3,
2007-02,100.2,
2007-03,98.1,
2007-04,99.7,
2007-05,100.5,
2007-06,103.2,
2007-07,99.7,
2007-08,103.9,
2007-09,104.0,
2007-10,103.7,
2007-11,108.5,
2007-12,104.1,
2008-01,103.7,
2008-02,103.7,
2008-03,104.0,
2008-04,103.4,
2008-05,103.7,
2008-06,102.8,
2008-07,104.9,
2008-08,106.3,
2008-09,105.8,
2008-10,102.8,
2008-11,90.7,
2008-12,82.4,
2009-01,80.7,
2009-02,80.2,
2009-03,78.0,
2009-04,81.1,
2009-05,82.5,
2009-06,85.0,
2009-07,84.7,
2009-08,88.0,
2009-09,88.6,
2009-10,89.7,
2009-11,91.2,
2009-12,88.2,
2010-01,92.1,
2010-02,93.0,
2010-03,97.8,
2010-04,97.1,
2010-05,99.1,
2010-06,102.0,
2010-07,100.8,
2010-08,101.7,
2010-09,105.0,
2010-10,100.4,
2010-11,103.0,
2010-12,105.6,
2011-01,106.9,
2011-02,109.3,
2011-03,110.9,
2011-04,109.3,
2011-05,107.0,
2011-06,107.6,
2011-07,108.9,
2011-08,107.3,
2011-09,105.9,
2011-10,102.8,
2011-11,102.9,
2011-12,102.5,
2012-01,106.9,
2012-02,106.5,
2012-03,111.0,
2012-04,107.4,
2012-05,111.5,
2012-06,110.9,
2012-07,111.8,
2012-08,112.2,
2012-09,108.4,
2012-10,110.1,
2012-11,109.8,
2012-12,110.9,
2013-01,105.0,
2013-02,105.2,
2013-03,106.5,
2013-04,109.5,
2013-05,108.0,
2013-06,105.0,
2013-07,107.8,
2013-08,109.2,
2013-09,113.6,
2013-10,112.4,
2013-11,113.2,
2013-12,110.5,
2014-01,112.6,
2014-02,114.5,
2014-03,105.8,
2014-04,108.9,
2014-05,107.0,
2014-06,111.8,
2014-07,112.9,
2014-08,112.5,
2014-09,114.0,
2014-10,114.0,
2014-11,119.6,
2014-12,110.6,Provisional value
