"",BBK01.CEHXB0,BBK01.CEHXB0_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:19:09,
1991-01,5.8,
1991-04,0.3,
1991-07,0.8,
1991-10,1.1,
1992-01,11.4,
1992-04,1.4,
1992-07,0.6,
1992-10,-3.8,
1993-01,8.1,
1993-04,4.8,
1993-07,1.9,
1993-10,-4.2,
1994-01,0.9,
1994-04,10.2,
1994-07,3.6,
1994-10,-3.1,
1995-01,23.0,
1995-04,2.3,
1995-07,4.8,
1995-10,0.1,
1996-01,12.0,
1996-04,2.2,
1996-07,1.7,
1996-10,-6.0,
1997-01,14.6,
1997-04,2.3,
1997-07,3.5,
1997-10,-2.8,
1998-01,10.0,
1998-04,5.7,
1998-07,2.8,
1998-10,-2.3,
1999-01,5.5,
1999-04,2.8,
1999-07,3.1,
1999-10,3.6,
2000-01,6.5,
2000-04,2.4,
2000-07,2.5,
2000-10,-3.9,
2001-01,6.3,
2001-04,2.6,
2001-07,5.8,
2001-10,9.2,
2002-01,11.1,
2002-04,2.7,
2002-07,3.6,
2002-10,-6.4,
2003-01,3.6,
2003-04,3.7,
2003-07,2.4,
2003-10,-0.1,
2004-01,4.5,
2004-04,0.6,
2004-07,2.4,
2004-10,2.1,
2005-01,6.0,
2005-04,1.6,
2005-07,4.9,
2005-10,4.9,
2006-01,-1.2,
2006-04,-1.2,
2006-07,-1.2,
2006-10,-0.8,
2007-01,-5.4,
2007-04,-5.3,
2007-07,-5.3,
2007-10,-6.0,
2008-01,-0.7,
2008-04,-0.8,
2008-07,-1.0,
2008-10,-1.3,
2009-01,-1.4,
2009-04,-1.4,
2009-07,-1.5,
2009-10,-1.6,
2010-01,1.6,
2010-04,1.4,
2010-07,1.3,
2010-10,1.3,
2011-01,2.6,
2011-04,2.6,
2011-07,2.6,
2011-10,2.5,
2012-01,1.7,
2012-04,1.6,
2012-07,1.6,
2012-10,1.6,
2013-01,0.7,
2013-04,1.8,
2013-07,2.3,
2013-10,2.3,
2014-01,7.6,
