"",BBFN1.M.DE.N.1.L.U2.S1P.F0.S.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.U2.S1P.F0.S.NV00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign affiliated enterprises arising from financial operations / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:43,
1995-01,12.484,
1995-02,12.353,
1995-03,13.790,
1995-04,13.204,
1995-05,13.324,
1995-06,12.553,
1995-07,12.503,
1995-08,12.294,
1995-09,13.063,
1995-10,12.997,
1995-11,13.254,
1995-12,12.569,
1996-01,12.371,
1996-02,13.943,
1996-03,13.937,
1996-04,13.958,
1996-05,14.054,
1996-06,15.118,
1996-07,13.319,
1996-08,14.159,
1996-09,15.121,
1996-10,15.307,
1996-11,15.842,
1996-12,16.660,
1997-01,15.001,
1997-02,15.947,
1997-03,16.965,
1997-04,16.508,
1997-05,16.308,
1997-06,15.838,
1997-07,16.501,
1997-08,15.908,
1997-09,17.089,
1997-10,17.262,
1997-11,17.667,
1997-12,21.357,
1998-01,20.483,
1998-02,19.660,
1998-03,20.117,
1998-04,19.900,
1998-05,21.178,
1998-06,21.075,
1998-07,21.799,
1998-08,22.424,
1998-09,22.411,
1998-10,23.162,
1998-11,22.853,
1998-12,21.567,
1999-01,22.157,
1999-02,23.278,
1999-03,23.975,
1999-04,26.169,
1999-05,27.224,
1999-06,28.452,
1999-07,28.253,
1999-08,28.717,
1999-09,28.442,
1999-10,29.135,
1999-11,31.413,
1999-12,38.517,
2000-01,35.930,
2000-02,34.934,
2000-03,37.148,
2000-04,37.697,
2000-05,38.011,
2000-06,46.900,
2000-07,46.945,
2000-08,60.872,
2000-09,71.867,
2000-10,75.040,
2000-11,74.575,
2000-12,75.229,
2001-01,72.936,
2001-02,75.109,
2001-03,77.326,
2001-04,77.725,
2001-05,77.870,
2001-06,84.369,
2001-07,84.391,
2001-08,84.940,
2001-09,88.223,
2001-10,86.328,
2001-11,86.238,
2001-12,90.572,
2002-01,83.079,
2002-02,87.734,
2002-03,89.600,
2002-04,88.249,
2002-05,86.066,
2002-06,87.796,
2002-07,85.926,
2002-08,85.400,
2002-09,88.135,
2002-10,88.274,
2002-11,87.545,
2002-12,84.503,
2003-01,84.077,
2003-02,85.871,
2003-03,85.185,
2003-04,84.978,
2003-05,89.979,
2003-06,92.079,
2003-07,92.782,
2003-08,91.537,
2003-09,90.283,
2003-10,90.609,
2003-11,94.366,
2003-12,95.412,
2004-01,97.967,
2004-02,93.282,
2004-03,100.017,
2004-04,96.799,
2004-05,96.047,
2004-06,96.077,
2004-07,99.596,
2004-08,98.125,
2004-09,93.607,
2004-10,91.075,
2004-11,92.980,
2004-12,89.298,
2005-01,88.784,
2005-02,87.724,
2005-03,90.357,
2005-04,89.717,
2005-05,90.211,
2005-06,92.447,
2005-07,90.418,
2005-08,90.535,
2005-09,91.715,
2005-10,94.704,
2005-11,94.486,
2005-12,103.926,
2006-01,100.552,
2006-02,105.079,
2006-03,102.357,
2006-04,99.987,
2006-05,109.664,
2006-06,108.552,
2006-07,107.368,
2006-08,109.601,
2006-09,116.967,
2006-10,116.554,
2006-11,118.552,
2006-12,122.508,
2007-01,124.916,
2007-02,125.057,
2007-03,126.186,
2007-04,126.613,
2007-05,126.189,
2007-06,129.501,
2007-07,130.490,
2007-08,127.834,
2007-09,123.839,
2007-10,124.231,
2007-11,120.779,
2007-12,113.231,
2008-01,114.699,
2008-02,113.252,
2008-03,116.191,
2008-04,117.619,
2008-05,113.767,
2008-06,115.603,
2008-07,114.804,
2008-08,113.893,
2008-09,114.746,
2008-10,109.320,
2008-11,111.727,
2008-12,116.373,
2009-01,112.414,
2009-02,115.922,
2009-03,116.660,
2009-04,117.053,
2009-05,117.779,
2009-06,119.041,
2009-07,116.855,
2009-08,114.973,
2009-09,116.938,
2009-10,119.883,
2009-11,118.391,
2009-12,122.952,
2010-01,121.042,
2010-02,120.768,
2010-03,118.990,
2010-04,118.567,
2010-05,120.861,
2010-06,120.164,
2010-07,118.659,
2010-08,121.226,
2010-09,124.952,
2010-10,124.289,
2010-11,127.323,
2010-12,127.217,
2011-01,128.894,
2011-02,127.141,
2011-03,124.905,
2011-04,125.745,
2011-05,125.905,
2011-06,138.590,
2011-07,139.967,
2011-08,142.506,
2011-09,146.589,
2011-10,135.198,
2011-11,142.268,
2011-12,142.693,
2012-01,144.203,
2012-02,143.531,
2012-03,146.719,
2012-04,139.469,
2012-05,137.225,
2012-06,146.101,
2012-07,149.082,
2012-08,147.060,
2012-09,147.950,
2012-10,148.112,
2012-11,153.247,
2012-12,157.591,
2013-01,156.098,
2013-02,149.641,
2013-03,155.746,
2013-04,157.103,
2013-05,161.080,
2013-06,161.044,
2013-07,162.116,
2013-08,159.945,
2013-09,157.184,
2013-10,151.691,
2013-11,153.184,
2013-12,153.114,
2014-01,152.685,
2014-02,156.279,
2014-03,154.469,
2014-04,151.621,
2014-05,156.161,
2014-06,158.279,
2014-07,155.825,
2014-08,160.120,
2014-09,148.113,
2014-10,143.336,
2014-11,145.669,
2014-12,132.475,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
