"",BBK01.OEYB09T,BBK01.OEYB09T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:42,
2002-01,0.848,
2002-04,0.844,
2002-07,0.850,
2002-10,0.823,
2003-01,1.486,
2003-04,1.425,
2003-07,1.495,
2003-10,1.580,
2004-01,1.626,
2004-04,1.643,
2004-07,1.637,
2004-10,1.803,
2005-01,1.799,
2005-04,1.790,
2005-07,1.754,
2005-10,1.774,
2006-01,1.800,
2006-04,1.811,
2006-07,1.831,
2006-10,1.906,
2007-01,1.934,
2007-04,1.654,
2007-07,1.727,
2007-10,1.777,
2008-01,1.839,
2008-04,1.884,
2008-07,1.969,
2008-10,2.202,
2009-01,2.600,
2009-04,2.327,
2009-07,2.383,
2009-10,2.486,
2010-01,2.532,
2010-04,2.520,
2010-07,2.572,
2010-10,2.538,
2011-01,2.569,
2011-04,2.625,
2011-07,2.665,
2011-10,2.784,
2012-01,2.950,
2012-04,2.959,
2012-07,2.986,
2012-10,3.058,
2013-01,3.095,
2013-04,3.461,
2013-07,3.330,
2013-10,3.315,
2014-01,3.454,
2014-04,3.522,
2014-07,3.586,
