"",BBFB1.M.N.DE.W1.S1.S1.T.C.SG2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SG2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Financial services / Financial intermediation services indirectly measured (FISIM) / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:30,
1991-01,112.986,
1991-02,112.990,
1991-03,112.993,
1991-04,122.317,
1991-05,122.319,
1991-06,122.316,
1991-07,118.652,
1991-08,118.650,
1991-09,118.645,
1991-10,119.984,
1991-11,119.985,
1991-12,119.990,
1992-01,124.985,
1992-02,124.979,
1992-03,124.978,
1992-04,119.978,
1992-05,119.975,
1992-06,119.980,
1992-07,127.651,
1992-08,127.650,
1992-09,127.648,
1992-10,145.322,
1992-11,145.318,
1992-12,145.315,
1993-01,179.652,
1993-02,179.646,
1993-03,179.653,
1993-04,180.653,
1993-05,180.648,
1993-06,180.647,
1993-07,185.982,
1993-08,185.984,
1993-09,185.978,
1993-10,210.982,
1993-11,210.982,
1993-12,210.985,
1994-01,224.654,
1994-02,224.647,
1994-03,224.649,
1994-04,235.649,
1994-05,235.650,
1994-06,235.650,
1994-07,233.653,
1994-08,233.652,
1994-09,233.652,
1994-10,221.315,
1994-11,221.313,
1994-12,221.314,
1995-01,235.652,
1995-02,235.648,
1995-03,235.647,
1995-04,265.649,
1995-05,265.647,
1995-06,265.650,
1995-07,283.655,
1995-08,283.655,
1995-09,283.656,
1995-10,320.316,
1995-11,320.316,
1995-12,320.321,
1996-01,342.652,
1996-02,342.655,
1996-03,342.654,
1996-04,355.317,
1996-05,355.313,
1996-06,355.324,
1996-07,384.319,
1996-08,384.319,
1996-09,384.319,
1996-10,392.984,
1996-11,392.987,
1996-12,392.984,
1997-01,422.320,
1997-02,422.323,
1997-03,422.319,
1997-04,450.985,
1997-05,450.984,
1997-06,450.988,
1997-07,446.988,
1997-08,446.986,
1997-09,446.988,
1997-10,419.649,
1997-11,419.654,
1997-12,419.650,
1998-01,438.985,
1998-02,438.985,
1998-03,438.989,
1998-04,446.317,
1998-05,446.318,
1998-06,446.320,
1998-07,453.984,
1998-08,453.982,
1998-09,453.986,
1998-10,469.647,
1998-11,469.653,
1998-12,469.648,
1999-01,632.327,
1999-02,632.325,
1999-03,632.329,
1999-04,716.657,
1999-05,716.666,
1999-06,716.673,
1999-07,718.668,
1999-08,718.655,
1999-09,718.662,
1999-10,617.334,
1999-11,617.331,
1999-12,617.319,
2000-01,653.422,
2000-02,653.948,
2000-03,654.102,
2000-04,555.220,
2000-05,552.501,
2000-06,553.533,
2000-07,510.226,
2000-08,515.472,
2000-09,514.711,
2000-10,476.731,
2000-11,481.525,
2000-12,481.250,
2001-01,577.326,
2001-02,577.329,
2001-03,577.325,
2001-04,646.332,
2001-05,646.324,
2001-06,646.323,
2001-07,713.658,
2001-08,713.659,
2001-09,713.647,
2001-10,890.329,
2001-11,890.317,
2001-12,890.321,
2002-01,850.332,
2002-02,850.326,
2002-03,850.323,
2002-04,787.328,
2002-05,787.323,
2002-06,787.328,
2002-07,813.654,
2002-08,813.661,
2002-09,813.662,
2002-10,821.997,
2002-11,822.005,
2002-12,821.995,
2003-01,443.996,
2003-02,443.986,
2003-03,443.992,
2003-04,477.660,
2003-05,477.664,
2003-06,477.654,
2003-07,476.661,
2003-08,476.659,
2003-09,476.659,
2003-10,472.983,
2003-11,472.990,
2003-12,472.988,
2004-01,489.327,
2004-02,489.329,
2004-03,489.325,
2004-04,530.659,
2004-05,530.655,
2004-06,530.664,
2004-07,528.993,
2004-08,528.994,
2004-09,528.996,
2004-10,548.663,
2004-11,548.665,
2004-12,548.650,
2005-01,593.981,
2005-02,593.995,
2005-03,593.983,
2005-04,625.993,
2005-05,625.994,
2005-06,625.999,
2005-07,605.320,
2005-08,605.324,
2005-09,605.327,
2005-10,620.336,
2005-11,620.324,
2005-12,620.324,
2006-01,630.323,
2006-02,630.327,
2006-03,630.329,
2006-04,640.321,
2006-05,640.333,
2006-06,640.324,
2006-07,648.327,
2006-08,648.316,
2006-09,648.325,
2006-10,586.662,
2006-11,586.661,
2006-12,586.659,
2007-01,405.997,
2007-02,405.996,
2007-03,405.986,
2007-04,467.663,
2007-05,467.665,
2007-06,467.662,
2007-07,471.325,
2007-08,471.329,
2007-09,471.325,
2007-10,550.659,
2007-11,550.654,
2007-12,550.654,
2008-01,591.657,
2008-02,591.654,
2008-03,591.647,
2008-04,620.666,
2008-05,620.645,
2008-06,620.651,
2008-07,658.994,
2008-08,658.993,
2008-09,658.991,
2008-10,814.992,
2008-11,814.997,
2008-12,814.990,
2009-01,678.334,
2009-02,678.321,
2009-03,678.339,
2009-04,531.662,
2009-05,531.672,
2009-06,531.664,
2009-07,560.651,
2009-08,560.655,
2009-09,560.688,
2009-10,508.653,
2009-11,508.646,
2009-12,508.684,
2010-01,492.313,
2010-02,492.335,
2010-03,492.341,
2010-04,521.334,
2010-05,521.330,
2010-06,521.333,
2010-07,585.005,
2010-08,585.000,
2010-09,584.994,
2010-10,556.339,
2010-11,556.339,
2010-12,556.357,
2011-01,536.796,
2011-02,536.710,
2011-03,536.863,
2011-04,528.850,
2011-05,528.801,
2011-06,528.787,
2011-07,602.490,
2011-08,602.487,
2011-09,602.421,
2011-10,615.436,
2011-11,615.528,
2011-12,615.490,
2012-01,558.330,
2012-02,558.341,
2012-03,558.338,
2012-04,515.673,
2012-05,515.672,
2012-06,515.659,
2012-07,489.336,
2012-08,489.340,
2012-09,489.336,
2012-10,442.668,
2012-11,442.678,
2012-12,442.675,
2013-01,430.653,
2013-02,430.653,
2013-03,430.653,
2013-04,450.986,
2013-05,450.986,
2013-06,450.986,
2013-07,444.000,
2013-08,444.000,
2013-09,444.000,
2013-10,434.659,
2013-11,434.659,
2013-12,434.659,
2014-01,430.653,
2014-02,430.653,Provisional value
2014-03,430.653,Provisional value
2014-04,450.986,Provisional value
2014-05,450.986,Provisional value
2014-06,450.986,Provisional value
2014-07,659.993,Provisional value
2014-08,659.993,Provisional value
2014-09,659.993,
2014-10,438.994,
2014-11,438.994,
2014-12,438.994,Provisional value
