"",BBFB1.M.N.DE.W1.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:53:42,
1991-01,26607.667,
1991-02,23283.431,
1991-03,25406.733,
1991-04,26112.591,
1991-05,26628.522,
1991-06,24971.501,
1991-07,27980.855,
1991-08,22976.814,
1991-09,24430.275,
1991-10,28034.767,
1991-11,25927.037,
1991-12,23941.644,
1992-01,25870.857,
1992-02,24914.163,
1992-03,27296.956,
1992-04,27580.078,
1992-05,24413.535,
1992-06,23443.946,
1992-07,27703.143,
1992-08,20260.804,
1992-09,23864.775,
1992-10,26317.766,
1992-11,24587.192,
1992-12,25586.917,
1993-01,20349.026,
1993-02,22586.111,
1993-03,23636.703,
1993-04,23372.090,
1993-05,21482.764,
1993-06,21988.844,
1993-07,22444.892,
1993-08,20708.561,
1993-09,22136.073,
1993-10,22565.686,
1993-11,23366.331,
1993-12,23513.413,
1994-01,20746.440,
1994-02,21977.086,
1994-03,26333.832,
1994-04,23156.345,
1994-05,24759.602,
1994-06,24667.873,
1994-07,23865.103,
1994-08,22614.109,
1994-09,24727.221,
1994-10,25026.636,
1994-11,25337.793,
1994-12,27639.764,
1995-01,23250.488,
1995-02,24837.329,
1995-03,29191.555,
1995-04,24390.903,
1995-05,26654.869,
1995-06,27200.189,
1995-07,25482.806,
1995-08,23389.908,
1995-09,26261.371,
1995-10,27197.223,
1995-11,26804.662,
1995-12,26817.483,
1996-01,27211.709,
1996-02,25244.962,
1996-03,27490.889,
1996-04,27164.530,
1996-05,26025.347,
1996-06,26713.951,
1996-07,27371.141,
1996-08,23864.265,
1996-09,26223.896,
1996-10,29463.406,
1996-11,27812.342,
1996-12,28065.461,
1997-01,28313.089,
1997-02,28092.724,
1997-03,28990.716,
1997-04,30027.459,
1997-05,29010.015,
1997-06,30880.864,
1997-07,31900.953,
1997-08,27712.846,
1997-09,30825.973,
1997-10,33813.382,
1997-11,31714.870,
1997-12,30664.203,
1998-01,32383.208,
1998-02,31084.556,
1998-03,33120.402,
1998-04,34784.399,
1998-05,30284.912,
1998-06,33504.028,
1998-07,33967.551,
1998-08,29025.107,
1998-09,31004.599,
1998-10,33777.371,
1998-11,31465.480,
1998-12,32544.964,
1999-01,30485.281,
1999-02,31345.199,
1999-03,34734.822,
1999-04,33424.675,
1999-05,33836.370,
1999-06,34655.682,
1999-07,34453.568,
1999-08,33900.586,
1999-09,34324.912,
1999-10,35988.330,
1999-11,37902.008,
1999-12,36695.060,
2000-01,36039.645,
2000-02,36101.831,
2000-03,42173.199,
2000-04,36646.072,
2000-05,44235.483,
2000-06,39090.939,
2000-07,40485.316,
2000-08,41175.004,
2000-09,41686.845,
2000-10,46415.963,
2000-11,48328.736,
2000-12,45758.823,
2001-01,42556.155,
2001-02,41429.066,
2001-03,42724.881,
2001-04,43453.245,
2001-05,42716.026,
2001-06,41980.306,
2001-07,42183.749,
2001-08,38735.559,
2001-09,39342.943,
2001-10,43179.405,
2001-11,43241.257,
2001-12,36405.750,
2002-01,36179.881,
2002-02,36392.783,
2002-03,38235.906,
2002-04,41985.328,
2002-05,37135.705,
2002-06,40450.338,
2002-07,39333.468,
2002-08,36791.218,
2002-09,38704.543,
2002-10,42639.425,
2002-11,42869.311,
2002-12,39027.299,
2003-01,40584.701,
2003-02,39623.694,
2003-03,41716.176,
2003-04,40892.263,
2003-05,39975.767,
2003-06,40220.727,
2003-07,40764.380,
2003-08,36275.270,
2003-09,40044.409,
2003-10,43503.343,
2003-11,44861.025,
2003-12,41194.234,
2004-01,39428.997,
2004-02,40836.878,
2004-03,44484.297,
2004-04,43072.269,
2004-05,42897.256,
2004-06,44647.540,
2004-07,45330.282,
2004-08,41874.818,
2004-09,46000.009,
2004-10,48073.005,
2004-11,50889.652,
2004-12,45379.528,
2005-01,43316.890,
2005-02,42795.160,
2005-03,44742.519,
2005-04,48133.453,
2005-05,47773.646,
2005-06,48505.676,
2005-07,47787.888,
2005-08,47068.870,
2005-09,50560.068,
2005-10,53160.590,
2005-11,54999.310,
2005-12,54095.597,
2006-01,52591.101,
2006-02,52650.383,
2006-03,57602.033,
2006-04,54359.418,
2006-05,56020.546,
2006-06,56751.744,
