"",BBK01.OEAH59N,BBK01.OEAH59N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:32,
2002-01,41.277,
2002-04,40.811,
2002-07,40.839,
2002-10,40.985,
2003-01,40.573,
2003-04,39.895,
2003-07,38.054,
2003-10,37.199,
2004-01,36.266,
2004-04,35.530,
2004-07,35.010,
2004-10,31.398,
2005-01,32.419,
2005-04,32.719,
2005-07,32.043,
2005-10,32.305,
2006-01,32.637,
2006-04,32.670,
2006-07,33.757,
2006-10,34.983,
2007-01,36.390,
2007-04,37.798,
2007-07,40.645,
2007-10,43.855,
2008-01,46.923,
2008-04,49.813,
2008-07,51.152,
2008-10,55.143,
2009-01,47.942,
2009-04,42.935,
2009-07,37.158,
2009-10,32.855,
2010-01,31.047,
2010-04,30.060,
2010-07,28.971,
2010-10,29.161,
2011-01,29.667,
2011-04,30.893,
2011-07,33.708,
2011-10,33.336,
2012-01,34.988,
2012-04,34.070,
2012-07,32.955,
2012-10,33.027,
2013-01,31.953,
2013-04,31.461,
2013-07,31.097,
2013-10,31.934,
2014-01,32.329,
2014-04,32.848,
2014-07,33.148,
