"",BBDL1.M.DE2.Y.VAC.VBA000.A0000.A00.D00.0.ABA.A,BBDL1.M.DE2.Y.VAC.VBA000.A0000.A00.D00.0.ABA.A_FLAGS
"","Reported vacancies, total / East Germany / Total / Absolute value / Calendar and seasonally adjusted",
unit,Anzahl (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-26 10:19:17,
1999-12,44,
2000-01,45,
2000-02,45,
2000-03,46,
2000-04,46,
2000-05,48,
2000-06,48,
2000-07,48,
2000-08,47,
2000-09,47,
2000-10,48,
2000-11,49,
2000-12,51,
2001-01,52,
2001-02,52,
2001-03,51,
2001-04,52,
2001-05,52,
2001-06,51,
2001-07,51,
2001-08,51,
2001-09,52,
2001-10,53,
2001-11,53,
2001-12,53,
2002-01,54,
2002-02,58,
2002-03,60,
2002-04,60,
2002-05,58,
2002-06,57,
2002-07,55,
2002-08,56,
2002-09,54,
2002-10,53,
2002-11,52,
2002-12,53,
2003-01,52,
2003-02,50,
2003-03,49,
2003-04,50,
2003-05,46,
2003-06,43,
2003-07,45,
2003-08,45,
2003-09,42,
2003-10,40,
2003-11,38,
2003-12,35,
2004-01,34,
2004-02,33,
2004-03,31,
2004-04,30,
2004-05,31,
2004-06,31,
2004-07,31,
2004-08,31,
2004-09,31,
2004-10,30,
2004-11,30,
2004-12,30,
2005-01,32,
2005-02,32,
2005-03,33,
2005-04,35,
2005-05,39,
2005-06,36,
2005-07,37,
2005-08,38,
2005-09,40,
2005-10,41,
2005-11,41,
2005-12,40,
2006-01,40,
2006-02,42,
2006-03,45,
2006-04,48,
2006-05,52,
2006-06,56,
2006-07,56,
2006-08,58,
2006-09,60,
2006-10,62,
2006-11,64,
2006-12,67,
2007-01,68,
2007-02,66,
2007-03,64,
2007-04,62,
2007-05,61,
2007-06,61,
2007-07,60,
2007-08,60,
2007-09,58,
2007-10,58,
2007-11,58,
2007-12,57,
2008-01,55,
2008-02,54,
2008-03,53,
2008-04,53,
2008-05,52,
2008-06,54,
2008-07,54,
2008-08,55,
2008-09,55,
2008-10,55,
2008-11,54,
2008-12,53,
2009-01,51,
2009-02,52,
2009-03,51,
2009-04,50,
2009-05,49,
2009-06,48,
2009-07,47,
2009-08,48,
2009-09,48,
2009-10,49,
2009-11,49,
2009-12,51,
2010-01,52,
2010-02,53,
2010-03,55,
2010-04,57,
2010-05,59,
2010-06,59,
2010-07,60,
2010-08,60,
2010-09,61,
2010-10,62,
2010-11,64,
2010-12,64,
2011-01,67,
2011-02,70,
2011-03,70,
2011-04,71,
2011-05,72,
2011-06,73,
2011-07,75,
2011-08,77,
2011-09,79,
2011-10,81,
2011-11,82,
2011-12,83,
2012-01,85,
2012-02,84,
2012-03,83,
2012-04,85,
2012-05,86,
2012-06,85,
2012-07,84,
2012-08,83,
2012-09,83,
2012-10,82,
2012-11,82,
2012-12,82,
2013-01,84,
2013-02,84,
2013-03,83,
2013-04,82,
2013-05,82,
2013-06,82,
2013-07,84,
2013-08,86,
2013-09,87,
2013-10,89,
2013-11,88,
2013-12,89,
2014-01,89,
2014-02,90,
2014-03,91,
2014-04,91,
2014-05,92,
2014-06,94,
2014-07,94,
2014-08,96,
2014-09,97,
2014-10,97,
2014-11,99,
2014-12,102,
2015-01,103,
2015-02,103,
