"",BBK01.OEAH13U,BBK01.OEAH13U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:16,
2002-01,1.569,
2002-04,1.533,
2002-07,1.586,
2002-10,1.587,
2003-01,1.516,
2003-04,1.439,
2003-07,1.377,
2003-10,1.323,
2004-01,1.308,
2004-04,1.283,
2004-07,1.284,
2004-10,1.361,
2005-01,1.361,
2005-04,1.330,
2005-07,1.269,
2005-10,1.399,
2006-01,1.494,
2006-04,1.505,
2006-07,1.585,
2006-10,1.638,
2007-01,1.774,
2007-04,1.834,
2007-07,1.992,
2007-10,2.093,
2008-01,2.013,
2008-04,2.068,
2008-07,2.063,
2008-10,2.354,
2009-01,2.274,
2009-04,2.182,
2009-07,1.971,
2009-10,2.067,
2010-01,1.921,
2010-04,1.831,
2010-07,1.651,
2010-10,1.564,
2011-01,1.472,
2011-04,1.479,
2011-07,1.428,
2011-10,1.369,
2012-01,1.327,
2012-04,1.308,
2012-07,1.268,
2012-10,1.186,
2013-01,1.030,
2013-04,0.930,
2013-07,0.886,
2013-10,0.859,
2014-01,0.846,
2014-04,0.841,
2014-07,0.875,
