"",BBDE1.Q.DE.Y.LCA1.P2XG00100.A.L.I08.A1,BBDE1.Q.DE.Y.LCA1.P2XG00100.A.L.I08.A1_FLAGS
"",Index of labour costs / Germany / Section G-S - Service activities / Calendar and seasonally adjusted / (With 3 decimal places),
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:09,
1996-01,82.437,
1996-04,82.180,
1996-07,82.707,
1996-10,83.916,
1997-01,84.342,
1997-04,84.485,
1997-07,84.023,
1997-10,85.012,
1998-01,85.184,
1998-04,85.738,
1998-07,86.165,
1998-10,86.488,
1999-01,86.502,
1999-04,88.056,
1999-07,88.458,
1999-10,88.640,
2000-01,88.593,
2000-04,89.058,
2000-07,90.528,
2000-10,90.883,
2001-01,90.896,
2001-04,91.264,
2001-07,91.872,
2001-10,92.906,
2002-01,93.472,
2002-04,93.371,
2002-07,94.115,
2002-10,95.098,
2003-01,95.810,
2003-04,95.939,
2003-07,96.645,
2003-10,96.532,
2004-01,96.823,
2004-04,97.055,
2004-07,96.961,
2004-10,96.881,
2005-01,97.106,
2005-04,97.177,
2005-07,96.750,
2005-10,96.633,
2006-01,96.722,
2006-04,96.960,
2006-07,97.132,
2006-10,97.431,
2007-01,97.038,
2007-04,97.458,
2007-07,97.940,
2007-10,98.649,
2008-01,99.596,
2008-04,99.150,
2008-07,100.318,
2008-10,100.935,
2009-01,102.766,
2009-04,102.984,
2009-07,103.594,
2009-10,102.897,
2010-01,104.273,
2010-04,104.309,
2010-07,104.944,
2010-10,104.854,
2011-01,106.064,
2011-04,107.185,
2011-07,107.555,
2011-10,107.914,
2012-01,109.258,
2012-04,110.639,
2012-07,111.495,
2012-10,112.356,
2013-01,112.395,
2013-04,112.371,
2013-07,111.845,
2013-10,113.016,
2014-01,112.782,
2014-04,113.695,
2014-07,114.544,
