"",BBFB1.Q.N.DE.W03100.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W03100.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:23,
1991-01,1424.731,
1991-04,1563.654,
1991-07,1778.163,
1991-10,1750.319,
1992-01,1517.214,
1992-04,1581.813,
1992-07,1530.690,
1992-10,1738.249,
1993-01,1450.856,
1993-04,1640.603,
1993-07,1748.904,
1993-10,1820.414,
1994-01,1552.287,
1994-04,1710.332,
1994-07,1648.486,
1994-10,1702.396,
1995-01,1700.128,
1995-04,1646.857,
1995-07,1832.480,
1995-10,2110.311,
1996-01,1618.491,
1996-04,1876.779,
1996-07,1897.361,
1996-10,2228.865,
1997-01,2042.273,
1997-04,2189.554,
1997-07,2520.919,
1997-10,2533.006,
1998-01,2182.969,
1998-04,2421.298,
1998-07,2598.307,
1998-10,2535.461,
1999-01,2111.547,
1999-04,2419.315,
1999-07,2442.711,
1999-10,2632.982,
2000-01,2255.352,
2000-04,2409.855,
2000-07,2663.792,
2000-10,3181.393,
2001-01,2360.184,
2001-04,2733.151,
2001-07,2866.794,
2001-10,3178.173,
2002-01,3131.817,
2002-04,3289.779,
2002-07,3555.645,
2002-10,3657.861,
2003-01,3013.315,
2003-04,3271.877,
2003-07,3294.861,
2003-10,3737.679,
2004-01,3217.338,
2004-04,3687.822,
2004-07,3866.595,
2004-10,4285.619,
2005-01,4059.250,
2005-04,4691.638,
2005-07,5236.899,
2005-10,5498.310,
2006-01,4614.165,
2006-04,5301.240,
2006-07,5399.476,
2006-10,6150.220,
2007-01,5148.243,
2007-04,5698.691,
2007-07,6286.025,
2007-10,6791.499,
2008-01,6465.312,
2008-04,6955.096,
2008-07,7331.839,
2008-10,7565.724,
2009-01,6541.430,
2009-04,6631.408,
2009-07,6718.270,
2009-10,7146.068,
2010-01,6438.274,
2010-04,7721.985,
2010-07,8135.243,
2010-10,8747.751,
2011-01,7280.632,
2011-04,7940.005,
2011-07,8302.912,
2011-10,9322.556,
2012-01,7952.852,
2012-04,8589.756,
2012-07,9097.399,
2012-10,9843.379,
2013-01,8031.012,
2013-04,9562.842,
2013-07,9861.230,
2013-10,10459.398,
2014-01,9014.499,Provisional value
2014-04,9988.524,Provisional value
2014-07,10274.761,Provisional value
