"",BBFB1.Q.N.DE.R5.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.R5.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:35,
1991-01,268.139,
1991-04,367.490,
1991-07,281.191,
1991-10,354.073,
1992-01,374.813,
1992-04,323.791,
1992-07,372.787,
1992-10,375.482,
1993-01,235.820,
1993-04,232.660,
1993-07,304.455,
1993-10,241.827,
1994-01,293.500,
1994-04,302.788,
1994-07,307.254,
1994-10,290.148,
1995-01,274.560,
1995-04,318.695,
1995-07,322.647,
1995-10,281.560,
1996-01,281.297,
1996-04,283.695,
1996-07,313.248,
1996-10,266.773,
1997-01,279.209,
1997-04,181.810,
1997-07,203.774,
1997-10,242.522,
1998-01,178.014,
1998-04,162.740,
1998-07,161.590,
1998-10,174.753,
1999-01,198.346,
1999-04,254.122,
1999-07,297.790,
1999-10,275.054,
2000-01,330.578,
2000-04,407.487,
2000-07,342.234,
2000-10,373.267,
2001-01,380.743,
2001-04,329.430,
2001-07,276.517,
2001-10,210.718,
2002-01,226.218,
2002-04,264.533,
2002-07,381.452,
2002-10,311.986,
2003-01,345.378,
2003-04,312.333,
2003-07,350.613,
2003-10,303.022,
2004-01,538.531,
2004-04,499.004,
2004-07,482.517,
2004-10,502.450,
2005-01,325.456,
2005-04,500.284,
2005-07,695.860,
2005-10,756.667,
2006-01,540.703,
2006-04,448.878,
2006-07,269.234,
2006-10,314.970,
2007-01,370.742,
2007-04,554.865,
2007-07,511.441,
2007-10,488.359,
2008-01,464.846,
2008-04,389.525,
2008-07,493.346,
2008-10,521.403,
2009-01,460.958,
2009-04,471.637,
2009-07,428.732,
2009-10,497.714,
2010-01,420.860,
2010-04,443.412,
2010-07,419.478,
2010-10,504.843,
2011-01,416.239,
2011-04,377.689,
2011-07,385.226,
2011-10,376.607,
2012-01,355.219,
2012-04,350.534,
2012-07,353.247,
2012-10,376.871,
2013-01,307.611,
2013-04,300.841,
2013-07,294.962,
2013-10,582.023,
2014-01,275.977,Provisional value
2014-04,259.422,Provisional value
2014-07,254.452,Provisional value
