"",BBK01.OEAF07U,BBK01.OEAF07U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:18,
2002-01,0.283,
2002-04,0.300,
2002-07,0.327,
2002-10,0.315,
2003-01,0.310,
2003-04,0.330,
2003-07,0.336,
2003-10,0.315,
2004-01,0.302,
2004-04,0.311,
2004-07,0.318,
2004-10,0.294,
2005-01,0.296,
2005-04,0.305,
2005-07,0.318,
2005-10,0.296,
2006-01,0.289,
2006-04,0.310,
2006-07,0.312,
2006-10,0.294,
2007-01,0.290,
2007-04,0.298,
2007-07,0.298,
2007-10,0.295,
2008-01,0.288,
2008-04,0.289,
2008-07,0.294,
2008-10,0.297,
2009-01,0.291,
2009-04,0.281,
2009-07,0.285,
2009-10,0.266,
2010-01,0.261,
2010-04,0.247,
2010-07,0.246,
2010-10,0.230,
2011-01,0.230,
2011-04,0.233,
2011-07,0.235,
2011-10,0.221,
2012-01,0.213,
2012-04,0.204,
2012-07,0.206,
2012-10,0.211,
2013-01,0.199,
2013-04,0.196,
2013-07,0.200,
2013-10,0.187,
2014-01,0.188,
2014-04,0.183,
2014-07,0.185,
