"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.BE.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.BE.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Belgium / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:33,
2009-09,66,
2009-10,91,
2009-11,92,
2009-12,64,
2010-01,81,
2010-02,85,
2010-03,99,
2010-04,93,
2010-05,82,
2010-06,94,
2010-07,89,
2010-08,75,
2010-09,77,
2010-10,39,
2010-11,39,
2010-12,24,
2011-01,24,
2011-02,22,
2011-03,27,
2011-04,28,
2011-05,48,
2011-06,57,
2011-07,58,
2011-08,69,
2011-09,33,
2011-10,34,
2011-11,34,
2011-12,34,
2012-01,30,
2012-02,9,
2012-03,10,
2012-04,9,
2012-05,9,
2012-06,8,
2012-07,8,
2012-08,8,
2012-09,9,
2012-10,11,
2012-11,73,
2012-12,120,
2013-01,120,
2013-02,116,
2013-03,118,
2013-04,114,
2013-05,131,
2013-06,129,
2013-07,131,
2013-08,148,
2013-09,166,
2013-10,151,
2013-11,152,
2013-12,226,
2014-01,296,
2014-02,316,
2014-03,302,
2014-04,296,
2014-05,309,
2014-06,240,
2014-07,237,
2014-08,280,
2014-09,280,
2014-10,363,
2014-11,367,
