"",BBK01.OEAC46K,BBK01.OEAC46K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:28,
2002-01,46.439,
2002-04,46.637,
2002-07,47.516,
2002-10,47.295,
2003-01,46.251,
2003-04,44.437,
2003-07,44.943,
2003-10,44.788,
2004-01,44.978,
2004-04,52.639,
2004-07,52.926,
2004-10,53.700,
2005-01,53.223,
2005-04,53.957,
2005-07,54.467,
2005-10,55.060,
2006-01,56.021,
2006-04,56.371,
2006-07,56.087,
2006-10,54.977,
2007-01,52.774,
2007-04,52.723,
2007-07,52.099,
2007-10,51.205,
2008-01,54.609,
2008-04,55.808,
2008-07,57.523,
2008-10,58.660,
2009-01,58.657,
2009-04,60.605,
2009-07,60.240,
2009-10,57.422,
2010-01,58.004,
2010-04,60.755,
2010-07,62.135,
2010-10,63.835,
2011-01,62.801,
2011-04,62.790,
2011-07,67.562,
2011-10,68.735,
2012-01,67.987,
2012-04,69.811,
2012-07,69.833,
2012-10,66.492,
2013-01,66.128,
2013-04,66.303,
2013-07,66.685,
2013-10,61.769,
2014-01,61.283,
2014-04,61.827,
2014-07,62.645,
