"",BBK01.OECL07T,BBK01.OECL07T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:03,
2002-01,0.589,
2002-04,0.390,
2002-07,0.395,
2002-10,0.428,
2003-01,0.433,
2003-04,0.425,
2003-07,0.447,
2003-10,0.447,
2004-01,0.439,
2004-04,0.435,
2004-07,0.464,
2004-10,0.582,
2005-01,1.336,
2005-04,1.326,
2005-07,1.316,
2005-10,1.326,
2006-01,1.308,
2006-04,1.280,
2006-07,1.251,
2006-10,1.241,
2007-01,1.248,
2007-04,1.236,
2007-07,1.206,
2007-10,1.220,
2008-01,1.206,
2008-04,1.223,
2008-07,1.195,
2008-10,1.186,
2009-01,1.199,
2009-04,1.215,
2009-07,1.242,
2009-10,1.278,
2010-01,1.288,
2010-04,1.278,
2010-07,1.292,
2010-10,1.310,
2011-01,1.308,
2011-04,1.302,
2011-07,1.291,
2011-10,1.307,
2012-01,1.419,
2012-04,1.399,
2012-07,1.404,
2012-10,1.449,
2013-01,1.422,
2013-04,1.407,
2013-07,1.392,
2013-10,1.389,
2014-01,1.376,
2014-04,1.357,
2014-07,1.399,
