"",BBK01.OEYM02G,BBK01.OEYM02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:37,
2002-01,0.260,
2002-04,0.343,
2002-07,0.317,
2002-10,0.356,
2003-01,0.558,
2003-04,1.515,
2003-07,0.444,
2003-10,0.328,
2004-01,0.445,
2004-04,1.135,
2004-07,0.635,
2004-10,0.343,
2005-01,0.602,
2005-04,0.819,
2005-07,1.021,
2005-10,0.662,
2006-01,0.867,
2006-04,1.592,
2006-07,0.920,
2006-10,3.108,
2007-01,1.336,
2007-04,2.568,
2007-07,1.793,
2007-10,2.228,
2008-01,1.509,
2008-04,1.819,
2008-07,1.871,
2008-10,3.504,
2009-01,2.699,
2009-04,2.421,
2009-07,3.115,
2009-10,3.280,
2010-01,3.623,
2010-04,2.872,
2010-07,2.942,
2010-10,3.559,
2011-01,2.790,
2011-04,2.756,
2011-07,3.222,
2011-10,1.777,
2012-01,2.239,
2012-04,3.439,
2012-07,3.437,
2012-10,1.869,
2013-01,1.936,
2013-04,4.079,
2013-07,3.288,
2013-10,3.068,
2014-01,3.238,
2014-04,3.561,
2014-07,2.419,
