"",BBK01.OEYB12R,BBK01.OEYB12R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:21,
2002-01,0.535,
2002-04,0.466,
2002-07,0.478,
2002-10,0.485,
2003-01,0.758,
2003-04,0.696,
2003-07,0.650,
2003-10,0.670,
2004-01,0.643,
2004-04,0.634,
2004-07,0.591,
2004-10,0.629,
2005-01,0.579,
2005-04,0.563,
2005-07,0.543,
2005-10,0.491,
2006-01,0.559,
2006-04,0.574,
2006-07,0.561,
2006-10,0.532,
2007-01,0.485,
2007-04,0.197,
2007-07,0.187,
2007-10,0.178,
2008-01,0.145,
2008-04,0.146,
2008-07,0.147,
2008-10,0.141,
2009-01,0.139,
2009-04,0.133,
2009-07,0.133,
2009-10,0.132,
2010-01,0.134,
2010-04,0.129,
2010-07,0.130,
2010-10,0.134,
2011-01,0.133,
2011-04,0.129,
2011-07,0.131,
2011-10,0.134,
2012-01,0.135,
2012-04,0.128,
2012-07,0.224,
2012-10,0.261,
2013-01,0.260,
2013-04,0.256,
2013-07,0.254,
2013-10,0.245,
2014-01,0.231,
2014-04,0.227,
2014-07,0.224,
