"",BBK01.OEYB09V,BBK01.OEYB09V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:43:03,
2002-01,7.970,
2002-04,7.922,
2002-07,7.768,
2002-10,7.848,
2003-01,7.764,
2003-04,7.337,
2003-07,7.101,
2003-10,7.203,
2004-01,7.104,
2004-04,7.302,
2004-07,7.318,
2004-10,7.381,
2005-01,7.243,
2005-04,7.244,
2005-07,7.086,
2005-10,7.055,
2006-01,6.959,
2006-04,6.861,
2006-07,6.723,
2006-10,6.621,
2007-01,6.462,
2007-04,6.212,
2007-07,6.164,
2007-10,6.086,
2008-01,5.861,
2008-04,4.163,
2008-07,3.968,
2008-10,4.124,
2009-01,3.910,
2009-04,3.821,
2009-07,3.835,
2009-10,5.247,
2010-01,5.179,
2010-04,5.643,
2010-07,5.652,
2010-10,5.681,
2011-01,5.596,
2011-04,5.592,
2011-07,5.753,
2011-10,5.722,
2012-01,5.666,
2012-04,5.715,
2012-07,5.542,
2012-10,5.250,
2013-01,5.107,
2013-04,5.111,
2013-07,5.223,
2013-10,5.130,
2014-01,5.077,
2014-04,4.854,
2014-07,4.850,
