"",BBK01.OEHL09J,BBK01.OEHL09J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:24,
2002-01,0.653,
2002-04,0.636,
2002-07,0.634,
2002-10,0.623,
2003-01,0.574,
2003-04,0.533,
2003-07,0.484,
2003-10,0.444,
2004-01,0.396,
2004-04,0.371,
2004-07,0.405,
2004-10,0.352,
2005-01,0.334,
2005-04,0.331,
2005-07,0.324,
2005-10,0.335,
2006-01,0.328,
2006-04,0.357,
2006-07,0.418,
2006-10,0.518,
2007-01,0.650,
2007-04,0.795,
2007-07,0.859,
2007-10,0.917,
2008-01,0.912,
2008-04,0.884,
2008-07,0.899,
2008-10,0.951,
2009-01,0.852,
2009-04,0.792,
2009-07,0.697,
2009-10,0.544,
2010-01,0.454,
2010-04,0.416,
2010-07,0.386,
2010-10,0.335,
2011-01,0.316,
2011-04,0.310,
2011-07,0.303,
2011-10,0.290,
2012-01,0.279,
2012-04,0.267,
2012-07,0.249,
2012-10,0.204,
2013-01,0.175,
2013-04,0.162,
2013-07,0.161,
2013-10,0.168,
2014-01,0.181,
2014-04,0.217,
2014-07,0.230,
