"",BBK01.OEAA22I,BBK01.OEAA22I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:13,
2002-01,2.970,
2002-04,2.975,
2002-07,2.711,
2002-10,2.561,
2003-01,2.334,
2003-04,2.502,
2003-07,2.311,
2003-10,2.098,
2004-01,2.027,
2004-04,1.940,
2004-07,1.967,
2004-10,2.325,
2005-01,2.364,
2005-04,2.361,
2005-07,2.379,
2005-10,2.001,
2006-01,2.131,
2006-04,2.180,
2006-07,2.186,
2006-10,1.998,
2007-01,2.068,
2007-04,1.994,
2007-07,2.027,
2007-10,1.960,
2008-01,2.146,
2008-04,2.535,
2008-07,2.889,
2008-10,3.755,
2009-01,3.746,
2009-04,4.318,
2009-07,4.907,
2009-10,5.038,
2010-01,5.439,
2010-04,5.518,
2010-07,5.263,
2010-10,5.901,
2011-01,6.619,
2011-04,6.474,
2011-07,6.608,
2011-10,7.427,
2012-01,7.629,
2012-04,7.935,
2012-07,7.727,
2012-10,8.175,
2013-01,8.144,
2013-04,8.827,
2013-07,7.651,
2013-10,7.419,
2014-01,7.857,
2014-04,8.101,
2014-07,8.294,
