"",BBFN1.M.DE.N.1.A.W00200.S1P.F0.L.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W00200.S1P.F0.L.NV00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on foreign affiliated enterprises arising from financial operations / Total / Industrial countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:33,
1996-12,6.411,
1997-01,6.618,
1997-02,6.625,
1997-03,7.305,
1997-04,7.394,
1997-05,7.460,
1997-06,7.549,
1997-07,7.347,
1997-08,6.984,
1997-09,7.099,
1997-10,6.959,
1997-11,7.219,
1997-12,7.309,
1998-01,7.691,
1998-02,7.850,
1998-03,8.271,
1998-04,8.619,
1998-05,8.674,
1998-06,8.876,
1998-07,8.960,
1998-08,9.275,
1998-09,9.330,
1998-10,9.458,
1998-11,10.751,
1998-12,11.141,
1999-01,11.245,
1999-02,11.404,
1999-03,11.569,
1999-04,11.680,
1999-05,11.768,
1999-06,12.051,
1999-07,13.105,
1999-08,13.830,
1999-09,14.516,
1999-10,15.178,
1999-11,15.268,
1999-12,14.097,
2000-01,14.705,
2000-02,14.767,
2000-03,15.236,
2000-04,15.186,
2000-05,17.147,
2000-06,18.258,
2000-07,18.547,
2000-08,19.026,
2000-09,19.279,
2000-10,19.834,
2000-11,19.707,
2000-12,20.729,
2001-01,20.873,
2001-02,21.261,
2001-03,21.786,
2001-04,21.992,
2001-05,22.437,
2001-06,22.769,
2001-07,22.991,
2001-08,23.436,
2001-09,23.765,
2001-10,24.323,
2001-11,24.454,
2001-12,25.899,
2002-01,26.343,
2002-02,33.489,
2002-03,33.822,
2002-04,34.203,
2002-05,34.719,
2002-06,34.208,
2002-07,35.868,
2002-08,36.593,
2002-09,35.724,
2002-10,36.489,
2002-11,37.717,
2002-12,32.359,
2003-01,36.770,
2003-02,36.717,
2003-03,36.845,
2003-04,35.476,
2003-05,34.773,
2003-06,34.509,
2003-07,36.152,
2003-08,36.404,
2003-09,34.317,
2003-10,35.688,
2003-11,35.571,
2003-12,34.144,
2004-01,34.728,
2004-02,33.833,
2004-03,34.340,
2004-04,34.583,
2004-05,36.647,
2004-06,37.419,
2004-07,38.149,
2004-08,37.980,
2004-09,38.614,
2004-10,38.149,
2004-11,37.810,
2004-12,36.585,
2005-01,39.580,
2005-02,38.916,
2005-03,40.825,
2005-04,40.825,
2005-05,38.399,
2005-06,39.650,
2005-07,39.775,
2005-08,39.052,
2005-09,38.047,
2005-10,36.618,
2005-11,37.638,
2005-12,37.876,
2006-01,38.206,
2006-02,38.864,
2006-03,39.281,
2006-04,39.302,
2006-05,39.345,
2006-06,38.428,
2006-07,36.581,
2006-08,36.500,
2006-09,36.846,
2006-10,38.153,
2006-11,37.099,
2006-12,38.762,
2007-01,39.811,
2007-02,38.765,
2007-03,39.394,
2007-04,39.983,
2007-05,42.868,
2007-06,42.813,
2007-07,42.715,
2007-08,46.812,
2007-09,49.104,
2007-10,48.126,
2007-11,46.895,
2007-12,41.173,
2008-01,44.790,
2008-02,45.725,
2008-03,48.367,
2008-04,49.327,
2008-05,49.879,
2008-06,46.880,
2008-07,45.326,
2008-08,45.516,
2008-09,49.654,
2008-10,50.435,
2008-11,51.170,
2008-12,47.935,
2009-01,49.251,
2009-02,50.207,
2009-03,49.491,
2009-04,51.133,
2009-05,49.546,
2009-06,49.769,
2009-07,49.944,
2009-08,49.298,
2009-09,51.026,
2009-10,54.396,
2009-11,56.160,
2009-12,59.588,
2010-01,60.937,
2010-02,60.048,
2010-03,60.609,
2010-04,60.866,
2010-05,62.453,
2010-06,63.352,
2010-07,59.553,
2010-08,60.201,
2010-09,61.538,
2010-10,61.841,
2010-11,62.341,
2010-12,62.131,
2011-01,62.202,
2011-02,62.130,
2011-03,63.699,
2011-04,63.270,
2011-05,63.338,
2011-06,60.939,
2011-07,62.483,
2011-08,62.692,
2011-09,61.712,
2011-10,60.754,
2011-11,61.076,
2011-12,62.671,
2012-01,63.716,
2012-02,63.861,
2012-03,65.068,
2012-04,65.259,
2012-05,65.679,
2012-06,66.054,
2012-07,67.587,
2012-08,68.012,
2012-09,69.832,
2012-10,68.252,
2012-11,71.709,
2012-12,73.632,
2013-01,79.023,
2013-02,78.886,
2013-03,79.164,
2013-04,88.309,
2013-05,90.598,
2013-06,91.226,
2013-07,89.817,
2013-08,92.147,
2013-09,94.048,
2013-10,86.490,
2013-11,91.198,
2013-12,90.586,
2014-01,90.006,
2014-02,89.731,
2014-03,90.392,
2014-04,88.277,
2014-05,91.460,
2014-06,89.884,
2014-07,91.611,
2014-08,92.453,
2014-09,92.669,
2014-10,91.907,
2014-11,92.093,
2014-12,92.209,
"","General: Up to 1994, including the former Yugoslavia and South Africa; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
