"",BBK01.PQP355,BBK01.PQP355_FLAGS
"",Lending to domestic enterprises / Short-term / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:28,
1985-10,12.359,
1986-01,12.883,
1986-04,12.632,
1986-07,12.525,
1986-10,12.154,
1987-01,12.365,
1987-04,11.884,
1987-07,11.800,
1987-10,10.793,
1988-01,12.000,
1988-04,11.681,
1988-07,12.179,
1988-10,12.463,
1989-01,13.229,
1989-04,13.379,
1989-07,13.439,
1989-10,13.000,
1990-01,14.300,
1990-04,13.740,
1990-07,13.678,
1990-10,13.313,
1991-01,14.255,
1991-04,15.002,
1991-07,15.117,
1991-10,14.755,
1992-01,14.855,
1992-04,15.330,
1992-07,14.957,
1992-10,16.960,
1993-01,16.891,
1993-04,17.283,
1993-07,16.723,
1993-10,15.760,
1994-01,17.403,
1994-04,17.745,
1994-07,18.106,
1994-10,17.323,
1995-01,17.685,
1995-04,17.288,
1995-07,17.731,
1995-10,17.148,
1996-01,18.249,
1996-04,19.548,
1996-07,18.449,
1996-10,19.408,
1997-01,19.720,
1997-04,21.340,
1997-07,19.367,
1997-10,18.961,
1998-01,18.977,
1998-04,20.075,
1998-07,19.650,
1998-10,19.691,
1999-01,20.529,
1999-04,19.709,
1999-07,20.155,
1999-10,20.257,
2000-01,27.604,
2000-04,23.162,
2000-07,23.962,
2000-10,23.663,
2001-01,31.361,
2001-04,26.507,
2001-07,25.166,
2001-10,24.628,
2002-01,27.223,
2002-04,22.411,
2002-07,21.648,
2002-10,22.680,
2003-01,25.942,
2003-04,21.568,
2003-07,20.928,
2003-10,19.521,
2004-01,20.828,
2004-04,18.341,
2004-07,19.171,
2004-10,17.974,
2005-01,20.235,
2005-04,21.726,
2005-07,24.617,
2005-10,31.181,
2006-01,38.994,
2006-04,34.605,
2006-07,40.058,
2006-10,34.196,
2007-01,40.029,
2007-04,38.773,
2007-07,40.220,
2007-10,38.519,
2008-01,49.088,
2008-04,57.165,
2008-07,62.137,
2008-10,42.236,
2009-01,44.112,
2009-04,47.303,
2009-07,44.611,
2009-10,37.823,
2010-01,36.392,
2010-04,40.870,
2010-07,32.169,
2010-10,28.356,
2011-01,29.638,
2011-04,29.920,
2011-07,31.773,
2011-10,26.723,
2012-01,35.423,
2012-04,30.151,
2012-07,34.694,
2012-10,29.331,
2013-01,36.781,
2013-04,38.647,
2013-07,23.672,
2013-10,23.343,
2014-01,23.982,
2014-04,24.845,
2014-07,25.112,
2014-10,25.467,
