"",BBK01.OECO02R,BBK01.OECO02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:15,
2002-01,0.049,
2002-04,0.045,
2002-07,0.035,
2002-10,0.042,
2003-01,0.042,
2003-04,0.034,
2003-07,0.047,
2003-10,0.037,
2004-01,0.040,
2004-04,0.032,
2004-07,0.061,
2004-10,0.146,
2005-01,0.123,
2005-04,0.108,
2005-07,0.081,
2005-10,0.087,
2006-01,0.114,
2006-04,0.096,
2006-07,0.092,
2006-10,0.099,
2007-01,0.150,
2007-04,0.102,
2007-07,0.091,
2007-10,0.106,
2008-01,0.124,
2008-04,0.126,
2008-07,0.075,
2008-10,0.117,
2009-01,0.140,
2009-04,0.109,
2009-07,0.132,
2009-10,0.120,
2010-01,0.137,
2010-04,0.087,
2010-07,0.075,
2010-10,0.080,
2011-01,0.099,
2011-04,0.077,
2011-07,0.086,
2011-10,0.081,
2012-01,0.163,
2012-04,0.076,
2012-07,0.086,
2012-10,0.088,
2013-01,0.129,
2013-04,0.073,
2013-07,0.067,
2013-10,0.065,
2014-01,0.059,
2014-04,0.046,
2014-07,0.080,
