"",BBFI1.Q.N.DE.W1.S13.S1.LE.L.FA.O.F89.L._T._X.N,BBFI1.Q.N.DE.W1.S13.S1.LE.L.FA.O.F89.L._T._X.N_FLAGS
"",IIP - Other Investment - Other accounts receivable/payable - General government - Long-term original maturity (over 1 year) - Liabilities - Positions,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:37,
1999-10,334,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,416,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,445,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,345,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,371,
2004-01,464,
2004-04,487,
2004-07,468,
2004-10,497,
2005-01,483,
2005-04,461,
2005-07,447,
2005-10,493,
2006-01,946,
2006-04,900,
2006-07,885,
2006-10,851,
2007-01,1173,
2007-04,1135,
2007-07,1131,
2007-10,1104,
2008-01,1181,
2008-04,1145,
2008-07,1191,
2008-10,1245,
2009-01,1406,
2009-04,1332,
2009-07,1297,
2009-10,1338,
2010-01,2881,
2010-04,2848,
2010-07,2660,
2010-10,2761,
2011-01,2851,
2011-04,3173,
2011-07,3174,
2011-10,3819,
2012-01,3301,
2012-04,3162,
2012-07,3042,
2012-10,3588,
2013-01,3071,
2013-04,2940,
2013-07,2818,
2013-10,3335,
2014-01,2727,
2014-04,2708,
2014-07,2718,
