"",BBFN1.M.DE.N.1.L.A1.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.A1.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Countries in America,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:19,
1995-01,6.141,
1995-02,6.600,
1995-03,6.507,
1995-04,8.462,
1995-05,8.290,
1995-06,8.099,
1995-07,7.684,
1995-08,7.525,
1995-09,6.945,
1995-10,7.885,
1995-11,7.618,
1995-12,7.964,
1996-01,7.607,
1996-02,8.109,
1996-03,8.439,
1996-04,10.602,
1996-05,10.437,
1996-06,9.470,
1996-07,8.370,
1996-08,8.556,
1996-09,8.633,
1996-10,9.429,
1996-11,9.383,
1996-12,12.218,
1997-01,13.807,
1997-02,14.924,
1997-03,15.413,
1997-04,16.725,
1997-05,16.211,
1997-06,16.696,
1997-07,15.181,
1997-08,12.539,
1997-09,14.559,
1997-10,8.658,
1997-11,11.293,
1997-12,11.758,
1998-01,11.635,
1998-02,14.140,
1998-03,18.878,
1998-04,17.342,
1998-05,19.391,
1998-06,18.588,
1998-07,16.079,
1998-08,13.015,
1998-09,16.846,
1998-10,10.643,
1998-11,14.175,
1998-12,14.885,
1999-01,17.555,
1999-02,19.082,
1999-03,22.380,
1999-04,26.299,
1999-05,29.235,
1999-06,30.131,
1999-07,22.682,
1999-08,20.691,
1999-09,20.028,
1999-10,27.575,
1999-11,24.161,
1999-12,21.871,
2000-01,21.607,
2000-02,23.376,
2000-03,33.481,
2000-04,35.717,
2000-05,42.398,
2000-06,36.693,
2000-07,30.700,
2000-08,28.814,
2000-09,26.672,
2000-10,19.582,
2000-11,25.006,
2000-12,25.516,
2001-01,24.908,
2001-02,26.695,
2001-03,32.568,
2001-04,34.159,
2001-05,42.732,
2001-06,40.995,
2001-07,36.440,
2001-08,27.325,
2001-09,32.927,
2001-10,33.164,
2001-11,23.708,
2001-12,23.445,
2002-01,22.546,
2002-02,19.081,
2002-03,18.530,
2002-04,18.037,
2002-05,18.725,
2002-06,18.563,
2002-07,16.671,
2002-08,16.882,
2002-09,16.925,
2002-10,16.698,
2002-11,18.560,
2002-12,18.341,
2003-01,17.516,
2003-02,17.560,
2003-03,19.160,
2003-04,18.140,
2003-05,17.703,
2003-06,17.664,
2003-07,17.612,
2003-08,16.871,
2003-09,21.690,
2003-10,18.009,
2003-11,18.408,
2003-12,16.953,
2004-01,16.705,
2004-02,17.329,
2004-03,19.258,
2004-04,17.136,
2004-05,16.684,
2004-06,18.720,
2004-07,18.456,
2004-08,18.185,
2004-09,18.796,
2004-10,18.069,
2004-11,19.366,
2004-12,21.013,
2005-01,17.569,
2005-02,17.170,
2005-03,18.649,
2005-04,18.661,
2005-05,19.327,
2005-06,18.466,
2005-07,19.046,
2005-08,17.477,
2005-09,22.540,
2005-10,22.402,
2005-11,21.367,
2005-12,21.079,
2006-01,19.563,
2006-02,19.527,
2006-03,18.480,
2006-04,19.162,
2006-05,20.815,
2006-06,21.408,
2006-07,20.306,
2006-08,20.262,
2006-09,16.060,
2006-10,15.606,
2006-11,16.441,
2006-12,18.604,
2007-01,19.486,
2007-02,20.010,
2007-03,20.261,
2007-04,21.612,
2007-05,19.994,
2007-06,21.434,
2007-07,21.446,
2007-08,23.141,
2007-09,22.462,
2007-10,23.211,
2007-11,24.678,
2007-12,23.655,
2008-01,18.731,
2008-02,16.669,
2008-03,16.341,
2008-04,20.024,
2008-05,17.415,
2008-06,17.534,
2008-07,15.667,
2008-08,16.130,
2008-09,17.215,
2008-10,18.814,
2008-11,17.738,
2008-12,18.182,
2009-01,19.696,
2009-02,19.115,
2009-03,19.155,
2009-04,18.139,
2009-05,17.403,
2009-06,16.704,
2009-07,16.739,
2009-08,16.883,
2009-09,17.633,
2009-10,17.219,
2009-11,17.182,
2009-12,19.504,
2010-01,18.727,
2010-02,17.968,
2010-03,19.410,
2010-04,17.480,
2010-05,17.506,
2010-06,16.146,
2010-07,16.252,
2010-08,16.974,
2010-09,16.424,
2010-10,15.854,
2010-11,17.099,
2010-12,17.701,
2011-01,18.151,
2011-02,17.832,
2011-03,17.357,
2011-04,17.589,
2011-05,17.196,
2011-06,18.140,
2011-07,18.389,
2011-08,19.073,
2011-09,20.177,
2011-10,21.005,
2011-11,22.975,
2011-12,23.280,
2012-01,23.589,
2012-02,22.977,
2012-03,22.698,
2012-04,23.053,
2012-05,25.279,
2012-06,23.904,
2012-07,25.309,
2012-08,25.559,
2012-09,25.302,
2012-10,27.695,
2012-11,26.325,
2012-12,25.834,
2013-01,24.278,
2013-02,24.958,
2013-03,25.148,
2013-04,24.488,
2013-05,25.293,
2013-06,26.752,
2013-07,22.978,
2013-08,24.832,
2013-09,24.812,
2013-10,24.751,
2013-11,24.231,
2013-12,26.718,
2014-01,25.452,
2014-02,26.396,
2014-03,25.707,
2014-04,25.242,
2014-05,25.386,
2014-06,26.091,
2014-07,25.562,
2014-08,26.902,
2014-09,26.554,
2014-10,26.706,
2014-11,26.449,
2014-12,24.311,
"",General: Up to December including Niederl.Antillen,
