"",BBFB1.Q.N.DE.A7.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.A7.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:19,
1991-01,153.397,
1991-04,-158.789,
1991-07,36.033,
1991-10,92.623,
1992-01,7.303,
1992-04,207.185,
1992-07,303.085,
1992-10,94.205,
1993-01,-282.578,
1993-04,200.225,
1993-07,212.294,
1993-10,-219.294,
1994-01,44.114,
1994-04,146.052,
1994-07,305.786,
1994-10,15.801,
1995-01,-380.788,
1995-04,213.939,
1995-07,1230.935,
1995-10,-790.927,
1996-01,322.927,
1996-04,1182.881,
1996-07,-463.367,
1996-10,-131.805,
1997-01,238.923,
1997-04,894.565,
1997-07,-700.841,
1997-10,383.705,
1998-01,986.294,
1998-04,-217.691,
1998-07,-1695.335,
1998-10,-12.260,
1999-01,83.623,
1999-04,833.773,
1999-07,522.869,
1999-10,1014.211,
2000-01,-712.018,
2000-04,38.469,
2000-07,1618.425,
2000-10,561.438,
2001-01,-293.165,
2001-04,2092.761,
2001-07,-1402.088,
2001-10,-781.339,
2002-01,756.439,
2002-04,-612.670,
2002-07,-1122.487,
2002-10,58.063,
2003-01,-336.651,
2003-04,766.884,
2003-07,181.385,
2003-10,-1036.220,
2004-01,597.401,
2004-04,-174.103,
2004-07,-406.762,
2004-10,-546.897,
2005-01,244.730,
2005-04,-62.523,
2005-07,-293.401,
2005-10,-1012.324,
2006-01,583.913,
2006-04,-636.434,
2006-07,-138.060,
2006-10,339.728,
2007-01,31.703,
2007-04,1342.715,
2007-07,255.284,
2007-10,867.789,
2008-01,665.518,
2008-04,3823.650,
2008-07,614.080,
2008-10,-5370.424,
2009-01,-385.957,
2009-04,1193.600,
2009-07,-755.620,
2009-10,101.705,
2010-01,452.358,
2010-04,194.791,
2010-07,3117.741,
2010-10,-1811.612,
2011-01,-705.764,
2011-04,-131.929,
2011-07,4130.033,
2011-10,-4839.948,
2012-01,206.340,
2012-04,1032.967,
2012-07,153.275,
2012-10,-1268.586,
2013-01,239.984,
2013-04,-594.691,
2013-07,-952.609,
2013-10,2328.555,
2014-01,-495.392,Provisional value
2014-04,-598.068,Provisional value
2014-07,-507.300,Provisional value
2014-10,-137.272,Provisional value
