"",BBK01.OELI03I,BBK01.OELI03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:38,
2002-01,2.037,
2002-04,2.297,
2002-07,2.642,
2002-10,2.475,
2003-01,2.563,
2003-04,3.085,
2003-07,2.056,
2003-10,1.993,
2004-01,1.760,
2004-04,1.657,
2004-07,1.762,
2004-10,2.430,
2005-01,1.979,
2005-04,1.670,
2005-07,1.734,
2005-10,2.232,
2006-01,1.781,
2006-04,1.785,
2006-07,1.746,
2006-10,1.738,
2007-01,1.696,
2007-04,1.815,
2007-07,2.021,
2007-10,2.395,
2008-01,2.291,
2008-04,2.058,
2008-07,2.190,
2008-10,2.236,
2009-01,2.666,
2009-04,1.855,
2009-07,1.639,
2009-10,1.262,
2010-01,1.044,
2010-04,1.106,
2010-07,0.901,
2010-10,0.986,
2011-01,1.071,
2011-04,1.137,
2011-07,1.043,
2011-10,1.057,
2012-01,1.152,
2012-04,1.131,
2012-07,0.854,
2012-10,0.731,
2013-01,0.796,
2013-04,0.725,
2013-07,0.610,
2013-10,0.499,
2014-01,0.667,
2014-04,0.755,
2014-07,0.786,
