"",BBK01.OEBB18Q,BBK01.OEBB18Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:21,
2002-01,0.755,
2002-04,0.723,
2002-07,0.684,
2002-10,0.646,
2003-01,0.579,
2003-04,0.580,
2003-07,0.568,
2003-10,0.552,
2004-01,0.532,
2004-04,0.469,
2004-07,0.466,
2004-10,0.449,
2005-01,0.471,
2005-04,0.469,
2005-07,0.465,
2005-10,0.512,
2006-01,0.524,
2006-04,0.504,
2006-07,0.507,
2006-10,0.503,
2007-01,0.521,
2007-04,0.506,
2007-07,0.496,
2007-10,0.507,
2008-01,0.470,
2008-04,0.488,
2008-07,0.467,
2008-10,0.502,
2009-01,0.428,
2009-04,0.406,
2009-07,0.415,
2009-10,0.402,
2010-01,0.414,
2010-04,0.414,
2010-07,0.414,
2010-10,0.408,
2011-01,0.415,
2011-04,0.410,
2011-07,0.400,
2011-10,0.378,
2012-01,0.374,
2012-04,0.365,
2012-07,0.358,
2012-10,0.369,
2013-01,0.361,
2013-04,0.362,
2013-07,0.356,
2013-10,0.343,
2014-01,0.344,
2014-04,0.353,
2014-07,0.358,
