"",BBK01.OEAD39H,BBK01.OEAD39H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:58,
2002-01,0.872,
2002-04,0.836,
2002-07,0.818,
2002-10,0.806,
2003-01,0.770,
2003-04,0.742,
2003-07,0.736,
2003-10,0.750,
2004-01,0.687,
2004-04,0.677,
2004-07,0.648,
2004-10,0.626,
2005-01,0.613,
2005-04,0.608,
2005-07,0.579,
2005-10,0.549,
2006-01,0.543,
2006-04,0.531,
2006-07,0.520,
2006-10,0.508,
2007-01,0.500,
2007-04,0.492,
2007-07,0.482,
2007-10,0.477,
2008-01,0.456,
2008-04,0.454,
2008-07,0.442,
2008-10,0.443,
2009-01,0.427,
2009-04,0.401,
2009-07,0.395,
2009-10,0.376,
2010-01,0.355,
2010-04,0.382,
2010-07,0.377,
2010-10,0.391,
2011-01,0.367,
2011-04,0.356,
2011-07,0.345,
2011-10,0.337,
2012-01,0.342,
2012-04,0.331,
2012-07,0.333,
2012-10,0.346,
2013-01,0.306,
2013-04,0.308,
2013-07,0.302,
2013-10,0.290,
2014-01,0.309,
2014-04,0.300,
2014-07,0.317,
