"",BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.D1.FL._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.D1.FL._Z._T._X.N_FLAGS
"",IIP - Direct investment in direct investment enterprises - Debt instruments (FDI) - Liabilities - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:55,
1999-10,165494,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,247545,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,274782,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,278882,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,269266,
2004-01,237539,
2004-04,243020,
2004-07,240309,
2004-10,238107,
2005-01,241462,
2005-04,243056,
2005-07,256952,
2005-10,230196,
2006-01,231917,
2006-04,235288,
2006-07,228540,
2006-10,267996,
2007-01,264309,
2007-04,271874,
2007-07,283245,
2007-10,272172,
2008-01,270632,
2008-04,275996,
2008-07,275497,
2008-10,284556,
2009-01,282865,
2009-04,290968,
2009-07,301403,
2009-10,289352,
2010-01,289240,
2010-04,303000,
2010-07,299541,
2010-10,312682,
2011-01,308574,
2011-04,314534,
2011-07,321751,
2011-10,341035,
2012-01,329328,
2012-04,349659,
2012-07,357090,
2012-10,138351,
2013-01,139785,
2013-04,144807,
2013-07,150588,
2013-10,164852,
2014-01,147002,
2014-04,153403,
2014-07,151250,
