"",BBK01.OELB01H,BBK01.OELB01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:19,
2002-01,65.751,
2002-04,65.847,
2002-07,65.885,
2002-10,65.699,
2003-01,65.172,
2003-04,65.421,
2003-07,65.786,
2003-10,65.796,
2004-01,65.321,
2004-04,65.684,
2004-07,66.078,
2004-10,67.702,
2005-01,67.743,
2005-04,68.285,
2005-07,69.106,
2005-10,69.753,
2006-01,70.068,
2006-04,70.791,
2006-07,71.455,
2006-10,71.382,
2007-01,71.321,
2007-04,71.859,
2007-07,72.449,
2007-10,72.874,
2008-01,72.584,
2008-04,73.127,
2008-07,73.754,
2008-10,73.945,
2009-01,74.013,
2009-04,75.141,
2009-07,76.439,
2009-10,77.440,
2010-01,77.936,
2010-04,79.697,
2010-07,80.787,
2010-10,81.735,
2011-01,82.491,
2011-04,84.089,
2011-07,85.533,
2011-10,86.838,
2012-01,87.817,
2012-04,91.013,
2012-07,92.082,
2012-10,93.226,
2013-01,93.793,
2013-04,95.339,
2013-07,97.026,
2013-10,98.036,
2014-01,98.551,
2014-04,99.963,
2014-07,101.618,
