"",BBK01.OELB14M,BBK01.OELB14M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:10,
2002-01,1.611,
2002-04,1.694,
2002-07,1.649,
2002-10,1.558,
2003-01,1.559,
2003-04,1.570,
2003-07,1.527,
2003-10,1.376,
2004-01,1.392,
2004-04,1.393,
2004-07,1.355,
2004-10,1.244,
2005-01,1.246,
2005-04,1.250,
2005-07,1.243,
2005-10,1.150,
2006-01,1.197,
2006-04,1.212,
2006-07,1.195,
2006-10,1.073,
2007-01,1.118,
2007-04,1.194,
2007-07,1.156,
2007-10,1.067,
2008-01,1.131,
2008-04,1.188,
2008-07,1.175,
2008-10,1.103,
2009-01,1.173,
2009-04,1.221,
2009-07,1.194,
2009-10,1.069,
2010-01,1.162,
2010-04,1.175,
2010-07,1.124,
2010-10,1.003,
2011-01,1.045,
2011-04,1.116,
2011-07,1.111,
2011-10,1.070,
2012-01,1.115,
2012-04,1.188,
2012-07,1.144,
2012-10,1.067,
2013-01,1.117,
2013-04,1.171,
2013-07,1.106,
2013-10,1.006,
2014-01,1.055,
2014-04,1.137,
2014-07,1.115,
