"",BBK01.OEAI06P,BBK01.OEAI06P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:39,
2002-01,1.541,
2002-04,1.602,
2002-07,1.569,
2002-10,1.378,
2003-01,1.368,
2003-04,1.354,
2003-07,1.376,
2003-10,1.564,
2004-01,1.544,
2004-04,1.534,
2004-07,1.544,
2004-10,1.548,
2005-01,1.533,
2005-04,1.502,
2005-07,1.442,
2005-10,1.341,
2006-01,1.295,
2006-04,1.251,
2006-07,1.231,
2006-10,1.214,
2007-01,1.228,
2007-04,1.236,
2007-07,1.246,
2007-10,1.191,
2008-01,1.216,
2008-04,1.242,
2008-07,1.268,
2008-10,1.238,
2009-01,1.209,
2009-04,1.128,
2009-07,1.030,
2009-10,0.967,
2010-01,0.924,
2010-04,0.873,
2010-07,0.808,
2010-10,0.752,
2011-01,0.762,
2011-04,0.779,
2011-07,0.767,
2011-10,0.727,
2012-01,0.702,
2012-04,0.687,
2012-07,0.673,
2012-10,0.654,
2013-01,0.614,
2013-04,0.561,
2013-07,0.539,
2013-10,0.547,
2014-01,0.535,
2014-04,0.509,
2014-07,0.494,
