"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.JP.00122.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.JP.00122.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Japan / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:33,
2009-09,154,
2009-10,153,
2009-11,156,
2009-12,153,
2010-01,153,
2010-02,153,
2010-03,115,
2010-04,104,
2010-05,113,
2010-06,103,
2010-07,100,
2010-08,87,
2010-09,78,
2010-10,77,
2010-11,78,
2010-12,73,
2011-01,80,
2011-02,79,
2011-03,74,
2011-04,62,
2011-05,57,
2011-06,57,
2011-07,68,
2011-08,67,
2011-09,72,
2011-10,67,
2011-11,70,
2011-12,73,
2012-01,73,
2012-02,41,
2012-03,40,
2012-04,51,
2012-05,29,
2012-06,26,
2012-07,27,
2012-08,29,
2012-09,29,
2012-10,27,
2012-11,29,
2012-12,28,
2013-01,21,
2013-02,22,
2013-03,22,
2013-04,21,
2013-05,21,
2013-06,20,
2013-07,27,
2013-08,27,
2013-09,34,
2013-10,34,
2013-11,33,
2013-12,36,
2014-01,35,
2014-02,37,
2014-03,58,
2014-04,52,
2014-05,32,
2014-06,30,
2014-07,30,
2014-08,31,
2014-09,31,
2014-10,34,
2014-11,33,
