"",BBK01.OEAG03P,BBK01.OEAG03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:29,
2002-01,0.622,
2002-04,0.570,
2002-07,0.572,
2002-10,0.596,
2003-01,0.655,
2003-04,0.649,
2003-07,0.656,
2003-10,0.681,
2004-01,0.657,
2004-04,0.656,
2004-07,0.741,
2004-10,0.760,
2005-01,0.864,
2005-04,0.888,
2005-07,0.908,
2005-10,0.916,
2006-01,0.840,
2006-04,0.807,
2006-07,0.773,
2006-10,0.863,
2007-01,0.766,
2007-04,0.765,
2007-07,0.779,
2007-10,0.829,
2008-01,0.832,
2008-04,0.836,
2008-07,0.772,
2008-10,0.765,
2009-01,0.769,
2009-04,0.729,
2009-07,0.687,
2009-10,0.856,
2010-01,0.694,
2010-04,0.813,
2010-07,0.724,
2010-10,0.882,
2011-01,1.001,
2011-04,0.974,
2011-07,0.682,
2011-10,0.990,
2012-01,0.615,
2012-04,0.617,
2012-07,0.535,
2012-10,0.640,
2013-01,0.461,
2013-04,0.599,
2013-07,0.559,
2013-10,0.467,
2014-01,0.447,
2014-04,0.569,
2014-07,0.494,
