"",BBFB1.M.N.DE.W1.S13.S1.T.C.D4P.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.C.D4P.O.F._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Other Investment income / General government (including Bundesbank) / Interest on Debt securities / Long-term Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:49,
1991-01,471.524,
1991-02,471.248,
1991-03,474.607,
1991-04,483.025,
1991-05,487.772,
1991-06,490.779,
1991-07,509.595,
1991-08,508.310,
1991-09,512.342,
1991-10,527.912,
1991-11,530.293,
1991-12,529.449,
1992-01,547.532,
1992-02,551.893,
1992-03,555.911,
1992-04,577.249,
1992-05,579.248,
1992-06,588.269,
1992-07,586.857,
1992-08,602.219,
1992-09,599.856,
1992-10,600.085,
1992-11,603.835,
1992-12,603.810,
1993-01,597.980,
1993-02,592.819,
1993-03,587.740,
1993-04,572.415,
1993-05,568.784,
1993-06,556.856,
1993-07,537.374,
1993-08,512.907,
1993-09,507.832,
1993-10,503.379,
1993-11,488.627,
1993-12,478.597,
1994-01,448.730,
1994-02,443.471,
1994-03,436.595,
1994-04,432.099,
1994-05,422.437,
1994-06,430.985,
1994-07,418.660,
1994-08,429.712,
1994-09,427.202,
1994-10,404.765,
1994-11,414.427,
1994-12,415.600,
1995-01,404.560,
1995-02,416.635,
1995-03,420.345,
1995-04,401.928,
1995-05,416.399,
1995-06,413.128,
1995-07,414.326,
1995-08,417.744,
1995-09,416.556,
1995-10,418.655,
1995-11,419.012,
1995-12,425.925,
1996-01,427.014,
1996-02,421.092,
1996-03,432.044,
1996-04,438.360,
1996-05,438.745,
1996-06,439.826,
1996-07,440.607,
1996-08,442.163,
1996-09,456.586,
1996-10,459.537,
1996-11,457.917,
1996-12,452.531,
1997-01,459.387,
1997-02,463.960,
1997-03,456.575,
1997-04,486.516,
1997-05,485.065,
1997-06,480.240,
1997-07,484.943,
1997-08,478.188,
1997-09,467.933,
1997-10,466.468,
1997-11,468.606,
1997-12,468.364,
1998-01,471.886,
1998-02,466.832,
1998-03,463.571,
1998-04,434.505,
1998-05,430.839,
1998-06,425.928,
1998-07,420.168,
1998-08,406.584,
1998-09,400.379,
1998-10,389.855,
1998-11,381.367,
1998-12,376.265,
1999-01,514.713,
1999-02,509.232,
1999-03,505.293,
1999-04,499.969,
1999-05,494.778,
1999-06,494.353,
1999-07,493.012,
1999-08,501.144,
1999-09,504.623,
1999-10,515.858,
1999-11,530.611,
1999-12,538.586,
2000-01,613.017,
2000-02,628.924,
2000-03,656.804,
2000-04,688.005,
2000-05,693.179,
2000-06,694.519,
2000-07,712.112,
2000-08,717.592,
2000-09,762.925,
2000-10,774.297,
2000-11,765.602,
2000-12,761.944,
2001-01,520.788,
2001-02,514.357,
2001-03,534.540,
2001-04,505.825,
2001-05,509.392,
2001-06,504.421,
2001-07,492.987,
2001-08,483.483,
2001-09,483.213,
2001-10,479.099,
2001-11,471.691,
2001-12,463.536,
2002-01,453.771,
2002-02,443.837,
2002-03,435.898,
2002-04,430.070,
2002-05,415.364,
2002-06,408.474,
2002-07,397.825,
2002-08,388.263,
2002-09,379.152,
2002-10,367.513,
2002-11,358.098,
2002-12,348.020,
2003-01,339.761,
2003-02,332.412,
2003-03,323.393,
2003-04,313.702,
2003-05,304.981,
2003-06,298.600,
2003-07,297.374,
2003-08,292.093,
2003-09,239.546,
2003-10,238.887,
2003-11,237.732,
2003-12,281.103,
2004-01,271.102,
2004-02,257.759,
2004-03,198.653,
2004-04,239.283,
2004-05,228.731,
2004-06,224.481,
2004-07,218.567,
2004-08,262.979,
2004-09,266.933,
2004-10,313.583,
2004-11,317.496,
2004-12,297.456,
2005-01,314.602,
2005-02,371.638,
2005-03,390.470,
2005-04,396.592,
2005-05,406.687,
2005-06,417.566,
2005-07,452.250,
2005-08,426.224,
2005-09,431.488,
2005-10,546.622,
2005-11,550.708,
2005-12,562.898,
2006-01,529.163,
2006-02,479.099,
2006-03,479.813,
2006-04,454.039,
2006-05,457.966,
2006-06,462.259,
2006-07,476.724,
2006-08,442.839,
2006-09,449.286,
2006-10,313.985,
2006-11,322.363,
2006-12,324.652,
2007-01,335.675,
2007-02,338.925,
2007-03,344.606,
2007-04,364.482,
2007-05,384.087,
2007-06,406.258,
2007-07,418.223,
2007-08,451.031,
2007-09,482.993,
2007-10,516.432,
2007-11,563.285,
2007-12,618.691,
2008-01,681.262,
2008-02,733.692,
2008-03,774.568,
2008-04,804.457,
2008-05,823.235,
2008-06,835.547,
2008-07,839.666,
2008-08,834.301,
2008-09,824.418,
2008-10,806.016,
2008-11,776.868,
2008-12,737.484,
2009-01,561.554,
2009-02,557.225,
2009-03,552.069,
2009-04,550.451,
2009-05,544.979,
2009-06,535.881,
2009-07,531.420,
2009-08,518.402,
2009-09,505.372,
2009-10,490.690,
2009-11,511.727,
2009-12,557.752,
2010-01,649.991,
2010-02,651.189,
2010-03,640.064,
2010-04,637.067,
2010-05,634.292,
2010-06,634.040,
2010-07,639.215,
2010-08,650.753,
2010-09,661.325,
2010-10,683.629,
2010-11,667.946,
2010-12,624.503,
2011-01,541.715,
2011-02,551.292,
2011-03,569.436,
2011-04,588.722,
2011-05,605.839,
2011-06,622.879,
2011-07,632.793,
2011-08,645.093,
2011-09,657.275,
2011-10,678.539,
2011-11,688.589,
2011-12,701.134,
2012-01,828.704,
2012-02,821.271,
2012-03,817.165,
2012-04,808.980,
2012-05,799.551,
2012-06,787.662,
2012-07,775.400,
2012-08,760.860,
2012-09,745.455,
2012-10,723.120,
2012-11,699.442,
2012-12,673.599,
2013-01,553.948,
2013-02,551.269,
2013-03,535.891,
2013-04,542.263,
2013-05,530.472,
2013-06,519.742,
2013-07,514.156,
2013-08,515.958,
2013-09,511.609,
2013-10,502.718,
2013-11,495.991,
2013-12,477.602,
2014-01,533.539,
2014-02,531.681,Provisional value
2014-03,517.707,Provisional value
2014-04,535.524,Provisional value
2014-05,521.005,Provisional value
2014-06,513.065,Provisional value
2014-07,511.779,Provisional value
2014-08,506.263,Provisional value
2014-09,504.313,
2014-10,502.110,
2014-11,497.249,
2014-12,484.227,Provisional value
