"",BBK01.OEBB20O,BBK01.OEBB20O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:56,
2002-01,-8.939,
2002-04,-9.264,
2002-07,-9.622,
2002-10,-10.304,
2003-01,-10.646,
2003-04,-11.075,
2003-07,-11.609,
2003-10,-12.131,
2004-01,-12.440,
2004-04,-13.602,
2004-07,-17.053,
2004-10,-17.521,
2005-01,4.270,
2005-04,4.348,
2005-07,4.426,
2005-10,4.500,
2006-01,4.539,
2006-04,4.459,
2006-07,4.516,
2006-10,4.608,
2007-01,4.625,
2007-04,4.787,
2007-07,4.817,
2007-10,4.792,
2008-01,4.803,
2008-04,4.843,
2008-07,4.863,
2008-10,4.847,
2009-01,4.913,
2009-04,5.709,
2009-07,5.730,
2009-10,5.722,
2010-01,5.736,
2010-04,5.740,
2010-07,5.875,
2010-10,5.766,
2011-01,5.716,
2011-04,5.692,
2011-07,5.698,
2011-10,5.664,
2012-01,5.685,
2012-04,5.723,
2012-07,5.758,
2012-10,5.787,
2013-01,5.836,
2013-04,5.904,
2013-07,5.974,
2013-10,5.985,
2014-01,6.018,
2014-04,6.084,
2014-07,6.140,
