"",BBK01.OEXL04M,BBK01.OEXL04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:08,
2002-01,1.604,
2002-04,1.519,
2002-07,1.564,
2002-10,1.542,
2003-01,1.449,
2003-04,1.304,
2003-07,1.179,
2003-10,1.105,
2004-01,1.062,
2004-04,1.065,
2004-07,1.038,
2004-10,0.963,
2005-01,0.949,
2005-04,0.895,
2005-07,0.899,
2005-10,0.966,
2006-01,0.962,
2006-04,0.961,
2006-07,1.049,
2006-10,1.266,
2007-01,1.490,
2007-04,1.635,
2007-07,1.590,
2007-10,2.075,
2008-01,2.700,
2008-04,2.837,
2008-07,3.539,
2008-10,4.495,
2009-01,3.962,
2009-04,4.086,
2009-07,3.111,
2009-10,2.151,
2010-01,1.554,
2010-04,0.899,
2010-07,0.579,
2010-10,0.987,
2011-01,0.541,
2011-04,0.769,
2011-07,0.886,
2011-10,1.001,
2012-01,1.070,
2012-04,0.890,
2012-07,0.780,
2012-10,0.596,
2013-01,0.444,
2013-04,0.352,
2013-07,0.317,
2013-10,0.323,
2014-01,0.242,
2014-04,0.368,
2014-07,0.488,
