"",BBK01.CEBP0X,BBK01.CEBP0X_FLAGS
"",Time deposits debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:13,
1991-01,16.8,
1991-04,16.5,
1991-07,12.8,
1991-10,10.9,
1992-01,14.3,
1992-04,12.2,
1992-07,12.0,
1992-10,13.3,
1993-01,18.7,
1993-04,21.2,
1993-07,22.6,
1993-10,24.1,
1994-01,26.3,
1994-04,23.9,
1994-07,27.3,
1994-10,22.4,
1995-01,25.9,
1995-04,27.1,
1995-07,24.6,
1995-10,22.5,
1996-01,30.9,
1996-04,32.4,
1996-07,30.5,
1996-10,25.0,
1997-01,33.9,
1997-04,30.3,
1997-07,25.5,
1997-10,22.1,
1998-01,33.3,
1998-04,30.7,
1998-07,32.2,
1998-10,23.2,
1999-01,26.0,
1999-04,21.1,
1999-07,22.3,
1999-10,20.3,
2000-01,25.6,
2000-04,19.2,
2000-07,25.1,
2000-10,22.3,
2001-01,25.5,
2001-04,24.7,
2001-07,28.7,
2001-10,30.1,
2002-01,43.3,
2002-04,45.2,
2002-07,47.4,
2002-10,30.7,
2003-01,43.5,
2003-04,50.1,
2003-07,57.3,
2003-10,52.6,
2004-01,58.4,
2004-04,52.6,
2004-07,52.5,
2004-10,55.6,
2005-01,66.3,
2005-04,60.0,
2005-07,69.0,
2005-10,61.0,
2006-01,79.8,
2006-04,78.0,
2006-07,94.5,
2006-10,82.5,
2007-01,111.4,
2007-04,116.7,
2007-07,121.0,
2007-10,143.5,
2008-01,180.5,
2008-04,174.4,
2008-07,212.6,
2008-10,233.4,
2009-01,260.8,
2009-04,271.5,
2009-07,261.7,
2009-10,274.0,
2010-01,263.2,
2010-04,292.1,
2010-07,310.0,
2010-10,326.8,
2011-01,319.1,
2011-04,362.4,
2011-07,413.4,
2011-10,358.7,
2012-01,356.5,
2012-04,384.7,
2012-07,382.4,
2012-10,333.3,
2013-01,374.0,
2013-04,401.5,
2013-07,192.9,
2013-10,187.5,
2014-01,209.9,
