"",BBK01.OECO03O,BBK01.OECO03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:33,
2002-01,0.225,
2002-04,0.326,
2002-07,0.107,
2002-10,0.109,
2003-01,0.138,
2003-04,0.122,
2003-07,0.141,
2003-10,0.161,
2004-01,0.216,
2004-04,0.166,
2004-07,0.163,
2004-10,0.185,
2005-01,0.395,
2005-04,0.339,
2005-07,0.337,
2005-10,0.359,
2006-01,0.435,
2006-04,0.386,
2006-07,0.387,
2006-10,0.404,
2007-01,0.470,
2007-04,0.345,
2007-07,0.355,
2007-10,0.364,
2008-01,0.378,
2008-04,0.348,
2008-07,0.304,
2008-10,0.385,
2009-01,0.400,
2009-04,0.309,
2009-07,0.381,
2009-10,0.382,
2010-01,0.471,
2010-04,0.357,
2010-07,0.232,
2010-10,0.303,
2011-01,0.377,
2011-04,0.376,
2011-07,0.343,
2011-10,0.297,
2012-01,0.371,
2012-04,0.306,
2012-07,0.307,
2012-10,0.286,
2013-01,0.478,
2013-04,0.262,
2013-07,0.274,
2013-10,0.226,
2014-01,0.204,
2014-04,0.154,
2014-07,0.213,
