"",BBDE1.M.DE.W.AEB1.A2P330000.F.V.I10.A,BBDE1.M.DE.W.AEB1.A2P330000.F.V.I10.A_FLAGS
"",Orders received from the domestic market / At current prices / Germany / Durable goods / Calendar adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:10,
1991-01,146.1,
1991-02,136.6,
1991-03,145.1,
1991-04,128.8,
1991-05,123.6,
1991-06,131.6,
1991-07,110.5,
1991-08,115.9,
1991-09,147.4,
1991-10,145.7,
1991-11,147.7,
1991-12,117.2,
1992-01,143.0,
1992-02,137.4,
1992-03,143.8,
1992-04,136.8,
1992-05,128.5,
1992-06,130.4,
1992-07,113.8,
1992-08,120.3,
1992-09,143.0,
1992-10,143.0,
1992-11,143.7,
1992-12,127.8,
1993-01,145.0,
1993-02,126.3,
1993-03,133.2,
1993-04,122.8,
1993-05,122.4,
1993-06,123.5,
1993-07,114.5,
1993-08,118.0,
1993-09,142.3,
1993-10,139.5,
1993-11,140.4,
1993-12,117.5,
1994-01,133.9,
1994-02,123.0,
1994-03,137.6,
1994-04,129.2,
1994-05,118.1,
1994-06,121.4,
1994-07,113.1,
1994-08,113.6,
1994-09,142.2,
1994-10,143.6,
1994-11,141.3,
1994-12,115.9,
1995-01,129.8,
1995-02,121.3,
1995-03,133.8,
1995-04,123.7,
1995-05,118.4,
1995-06,123.6,
1995-07,116.4,
1995-08,113.1,
1995-09,153.2,
1995-10,143.8,
1995-11,145.1,
1995-12,116.4,
1996-01,128.3,
1996-02,117.8,
1996-03,129.8,
1996-04,120.0,
1996-05,117.1,
1996-06,120.4,
1996-07,112.5,
1996-08,106.0,
1996-09,140.0,
1996-10,134.7,
1996-11,134.2,
1996-12,114.6,
1997-01,127.3,
1997-02,123.1,
1997-03,133.2,
1997-04,118.1,
1997-05,112.3,
1997-06,118.5,
1997-07,117.2,
1997-08,113.8,
1997-09,143.0,
1997-10,139.7,
1997-11,138.7,
1997-12,111.6,
1998-01,123.8,
1998-02,116.3,
1998-03,136.5,
1998-04,114.7,
1998-05,129.0,
1998-06,115.7,
1998-07,107.2,
1998-08,100.7,
1998-09,137.0,
1998-10,126.9,
1998-11,127.3,
1998-12,109.8,
1999-01,119.5,
1999-02,111.3,
1999-03,121.8,
1999-04,110.4,
1999-05,111.0,
1999-06,116.7,
1999-07,108.7,
1999-08,103.9,
1999-09,135.9,
1999-10,132.3,
1999-11,135.7,
1999-12,110.1,
2000-01,121.1,
2000-02,121.7,
2000-03,134.9,
2000-04,122.9,
2000-05,115.5,
2000-06,120.5,
2000-07,118.6,
2000-08,112.7,
2000-09,146.6,
2000-10,138.9,
2000-11,141.6,
2000-12,115.9,
