"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.LU.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.LU.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Luxembourg / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:11,
2009-09,1655,
2009-10,1679,
2009-11,1656,
2009-12,1633,
2010-01,1610,
2010-02,1509,
2010-03,1582,
2010-04,1606,
2010-05,1572,
2010-06,1548,
2010-07,1550,
2010-08,1078,
2010-09,1150,
2010-10,1096,
2010-11,1044,
2010-12,1021,
2011-01,987,
2011-02,978,
2011-03,981,
2011-04,968,
2011-05,990,
2011-06,677,
2011-07,680,
2011-08,685,
2011-09,666,
2011-10,658,
2011-11,624,
2011-12,632,
2012-01,623,
2012-02,617,
2012-03,619,
2012-04,619,
2012-05,639,
2012-06,649,
2012-07,615,
2012-08,615,
2012-09,605,
2012-10,601,
2012-11,591,
2012-12,605,
2013-01,617,
2013-02,678,
2013-03,632,
2013-04,626,
2013-05,623,
2013-06,617,
2013-07,642,
2013-08,642,
2013-09,640,
2013-10,626,
2013-11,606,
2013-12,606,
2014-01,615,
2014-02,634,
2014-03,611,
2014-04,612,
2014-05,620,
2014-06,589,
2014-07,591,
2014-08,602,
2014-09,512,
2014-10,753,
2014-11,528,
