"",BBK01.OECB23M,BBK01.OECB23M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:44,
2002-01,0.022,
2002-04,0.021,
2002-07,0.021,
2002-10,0.019,
2003-01,0.019,
2003-04,0.016,
2003-07,0.016,
2003-10,0.012,
2004-01,0.015,
2004-04,0.018,
2004-07,0.018,
2004-10,0.007,
2005-01,0.007,
2005-04,0.003,
2005-07,0.004,
2005-10,0.003,
2006-01,0.004,
2006-04,0.002,
2006-07,0.002,
2006-10,0.005,
2007-01,0.005,
2007-04,0.022,
2007-07,0.042,
2007-10,0.041,
2008-01,0.069,
2008-04,0.095,
2008-07,0.095,
2008-10,0.111,
2009-01,0.115,
2009-04,0.097,
2009-07,0.092,
2009-10,0.084,
2010-01,0.084,
2010-04,0.072,
2010-07,0.096,
2010-10,0.080,
2011-01,0.053,
2011-04,0.043,
2011-07,0.043,
2011-10,0.042,
2012-01,0.042,
2012-04,0.036,
2012-07,0.033,
2012-10,0.018,
2013-01,0.013,
2013-04,0.023,
2013-07,0.024,
2013-10,0.032,
2014-01,0.065,
2014-04,0.087,
2014-07,0.092,
