"",BBK01.OEAE15V,BBK01.OEAE15V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:38,
2002-01,0.302,
2002-04,0.318,
2002-07,0.329,
2002-10,0.311,
2003-01,0.286,
2003-04,0.299,
2003-07,0.278,
2003-10,0.273,
2004-01,0.244,
2004-04,0.247,
2004-07,0.260,
2004-10,0.264,
2005-01,0.239,
2005-04,0.201,
2005-07,0.192,
2005-10,0.183,
2006-01,0.198,
2006-04,0.185,
2006-07,0.192,
2006-10,0.171,
2007-01,0.177,
2007-04,0.183,
2007-07,0.170,
2007-10,0.159,
2008-01,0.138,
2008-04,0.150,
2008-07,0.163,
2008-10,0.168,
2009-01,0.153,
2009-04,0.161,
2009-07,0.155,
2009-10,0.149,
2010-01,0.129,
2010-04,0.152,
2010-07,0.164,
2010-10,0.132,
2011-01,0.140,
2011-04,0.151,
2011-07,0.149,
2011-10,0.137,
2012-01,0.130,
2012-04,0.143,
2012-07,0.147,
2012-10,0.140,
2013-01,0.149,
2013-04,0.150,
2013-07,0.145,
2013-10,0.135,
2014-01,0.128,
2014-04,0.131,
2014-07,0.137,
