"",BBK01.OECB24T,BBK01.OECB24T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:09,
2002-01,0.645,
2002-04,0.641,
2002-07,0.648,
2002-10,0.663,
2003-01,0.654,
2003-04,0.678,
2003-07,0.682,
2003-10,0.645,
2004-01,0.654,
2004-04,0.665,
2004-07,0.668,
2004-10,0.682,
2005-01,0.717,
2005-04,0.724,
2005-07,0.702,
2005-10,0.675,
2006-01,0.666,
2006-04,0.593,
2006-07,0.596,
2006-10,0.590,
2007-01,0.582,
2007-04,0.576,
2007-07,0.568,
2007-10,0.552,
2008-01,0.540,
2008-04,0.523,
2008-07,0.539,
2008-10,0.535,
2009-01,0.533,
2009-04,0.511,
2009-07,0.455,
2009-10,0.267,
2010-01,0.271,
2010-04,0.266,
2010-07,0.447,
2010-10,0.451,
2011-01,0.564,
2011-04,0.543,
2011-07,0.531,
2011-10,0.513,
2012-01,0.501,
2012-04,0.486,
2012-07,0.446,
2012-10,0.419,
2013-01,0.939,
2013-04,0.388,
2013-07,0.362,
2013-10,0.332,
2014-01,0.341,
2014-04,0.326,
2014-07,0.323,
