"",BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.P.F52._Z._T.M.N,BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.P.F52._Z._T.M.N_FLAGS
"",IIP - Portfolio investment - Investment fund shares/units - Net (Assets minus Liabilities) - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:02:08,
1999-10,89167,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,111221,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,114955,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,107342,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,126620,
2004-01,131524,
2004-04,135793,
2004-07,129101,
2004-10,141434,
2005-01,154643,
2005-04,161152,
2005-07,174591,
2005-10,192885,
2006-01,212339,
2006-04,214415,
2006-07,216191,
2006-10,250451,
2007-01,262314,
2007-04,290448,
2007-07,287326,
2007-10,290794,
2008-01,288779,
2008-04,289670,
2008-07,283922,
2008-10,242444,
2009-01,166872,
2009-04,204896,
2009-07,220719,
2009-10,213081,
2010-01,220515,
2010-04,214084,
2010-07,224967,
2010-10,245001,
2011-01,222327,
2011-04,215944,
2011-07,188272,
2011-10,197241,
2012-01,212839,
2012-04,208626,
2012-07,209308,
2012-10,219598,
2013-01,245989,
2013-04,237886,
2013-07,250644,
2013-10,254507,
2014-01,259737,
2014-04,281387,
2014-07,298855,
