"",BBK01.CEL701,BBK01.CEL701_FLAGS
"",Other accounts receivable                                              debtor: Total            creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:35,
1999-01,-2.1,
1999-04,-2.8,
1999-07,16.1,
1999-10,55.3,
2000-01,-13.5,
2000-04,27.2,
2000-07,-17.6,
2000-10,-4.6,
2001-01,3.1,
2001-04,-17.5,
2001-07,12.9,
2001-10,3.6,
2002-01,-17.8,
2002-04,2.0,
2002-07,-3.9,
2002-10,15.1,
2003-01,36.8,
2003-04,23.5,
2003-07,-9.8,
2003-10,25.3,
2004-01,-8.7,
2004-04,-5.5,
2004-07,2.9,
2004-10,26.6,
2005-01,-1.4,
2005-04,6.5,
2005-07,16.0,
2005-10,-19.8,
2006-01,28.4,
2006-04,14.1,
2006-07,13.0,
2006-10,26.7,
2007-01,37.5,
2007-04,11.9,
2007-07,38.3,
2007-10,59.8,
2008-01,17.1,
2008-04,10.6,
2008-07,6.2,
2008-10,6.4,
2009-01,-11.6,
2009-04,10.3,
2009-07,-2.0,
2009-10,17.6,
2010-01,1.8,
2010-04,5.4,
2010-07,31.3,
2010-10,1.2,
2011-01,67.2,
2011-04,0.8,
2011-07,-23.2,
2011-10,18.8,
2012-01,23.8,
2012-04,-20.7,
2012-07,50.8,
2012-10,48.4,
2013-01,31.2,
2013-04,16.4,
2013-07,65.7,
2013-10,15.9,
2014-01,-0.8,
2014-04,-20.5,
2014-07,-5.8,
