"",BBFB1.Q.N.DE.E1.S1.S1.T.C.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.C.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Receipts / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:44,
1999-01,2897.360,
1999-04,3457.462,
1999-07,4023.485,
1999-10,3570.497,
2000-01,3326.755,
2000-04,4010.880,
2000-07,4536.222,
2000-10,4087.256,
2001-01,3602.693,
2001-04,4189.944,
2001-07,4605.844,
2001-10,4097.498,
2002-01,3432.764,
2002-04,4206.875,
2002-07,4769.468,
2002-10,4208.347,
2003-01,3510.887,
2003-04,4301.598,
2003-07,4889.078,
2003-10,4298.155,
2004-01,3905.948,
2004-04,4678.174,
2004-07,5297.856,
2004-10,4642.746,
2005-01,4123.712,
2005-04,5018.719,
2005-07,5564.821,
2005-10,4882.986,
2006-01,4232.318,
2006-04,5773.308,
2006-07,6169.975,
2006-10,5480.412,
2007-01,4609.505,
2007-04,5548.095,
2007-07,6469.654,
2007-10,5560.018,
2008-01,4741.278,
2008-04,5788.143,
2008-07,6634.784,
2008-10,5781.433,
2009-01,4279.784,
2009-04,5182.496,
2009-07,6118.672,
2009-10,5217.292,
2010-01,4404.257,
2010-04,5393.686,
2010-07,6478.642,
2010-10,5505.336,
2011-01,4689.895,
2011-04,5638.735,
2011-07,6883.198,
2011-10,5895.130,
2012-01,5058.891,
2012-04,5839.355,
2012-07,6947.527,
2012-10,6019.054,
2013-01,5302.275,
2013-04,6097.572,
2013-07,7151.308,
2013-10,6260.380,
2014-01,5351.022,Provisional value
2014-04,6330.058,Provisional value
2014-07,7363.601,Provisional value
2014-10,6332.767,Provisional value
