"",BBK01.OEAC36M,BBK01.OEAC36M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:31,
2002-01,0.484,
2002-04,0.479,
2002-07,0.477,
2002-10,0.477,
2003-01,0.462,
2003-04,0.471,
2003-07,0.481,
2003-10,0.460,
2004-01,0.457,
2004-04,0.457,
2004-07,0.453,
2004-10,0.431,
2005-01,0.422,
2005-04,0.439,
2005-07,0.439,
2005-10,0.421,
2006-01,0.415,
2006-04,0.429,
2006-07,0.431,
2006-10,0.420,
2007-01,0.406,
2007-04,0.407,
2007-07,0.427,
2007-10,0.420,
2008-01,0.437,
2008-04,0.410,
2008-07,0.436,
2008-10,0.440,
2009-01,0.438,
2009-04,0.450,
2009-07,0.515,
2009-10,0.565,
2010-01,0.634,
2010-04,0.623,
2010-07,0.638,
2010-10,0.581,
2011-01,0.573,
2011-04,0.591,
2011-07,0.613,
2011-10,0.605,
2012-01,0.610,
2012-04,0.606,
2012-07,0.604,
2012-10,0.594,
2013-01,0.587,
2013-04,0.586,
2013-07,0.608,
2013-10,0.622,
2014-01,0.627,
2014-04,0.652,
2014-07,0.683,
