"",BBK01.OECB11H,BBK01.OECB11H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:54,
2002-01,4.473,
2002-04,4.725,
2002-07,4.652,
2002-10,4.507,
2003-01,4.578,
2003-04,4.497,
2003-07,4.457,
2003-10,4.493,
2004-01,4.413,
2004-04,4.451,
2004-07,4.413,
2004-10,4.397,
2005-01,4.613,
2005-04,4.941,
2005-07,4.754,
2005-10,4.475,
2006-01,4.487,
2006-04,4.568,
2006-07,4.700,
2006-10,4.613,
2007-01,4.561,
2007-04,4.593,
2007-07,4.472,
2007-10,5.002,
2008-01,4.974,
2008-04,5.051,
2008-07,4.289,
2008-10,5.539,
2009-01,5.805,
2009-04,6.690,
2009-07,6.861,
2009-10,7.039,
2010-01,6.670,
2010-04,6.650,
2010-07,5.701,
2010-10,5.874,
2011-01,6.194,
2011-04,5.941,
2011-07,5.679,
2011-10,5.868,
2012-01,4.334,
2012-04,4.189,
2012-07,4.476,
2012-10,4.750,
2013-01,4.845,
2013-04,4.537,
2013-07,4.169,
2013-10,4.090,
2014-01,3.767,
2014-04,3.932,
2014-07,3.988,
