"",BBFB1.Q.N.DE.E14000.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:27,
1991-01,279.381,
1991-04,-124.460,
1991-07,-53.925,
1991-10,53.660,
1992-01,3.270,
1992-04,-38.601,
1992-07,-96.159,
1992-10,-62.401,
1993-01,11.410,
1993-04,-232.831,
1993-07,-171.713,
1993-10,138.346,
1994-01,-224.487,
1994-04,-378.372,
1994-07,-505.340,
1994-10,-487.082,
1995-01,-325.420,
1995-04,-478.221,
1995-07,-315.598,
1995-10,-261.666,
1996-01,-79.112,
1996-04,-401.007,
1996-07,-301.466,
1996-10,56.658,
1997-01,100.039,
1997-04,-298.638,
1997-07,-155.516,
1997-10,474.276,
1998-01,17.178,
1998-04,-519.823,
1998-07,-403.263,
1998-10,-187.374,
1999-01,-19.112,
1999-04,-220.871,
1999-07,-479.950,
1999-10,-528.639,
2000-01,167.315,
2000-04,-581.411,
2000-07,-306.408,
2000-10,435.616,
2001-01,-0.374,
2001-04,-402.039,
2001-07,48.814,
2001-10,236.664,
2002-01,357.048,
2002-04,181.294,
2002-07,425.689,
2002-10,549.714,
2003-01,73.558,
2003-04,-677.313,
2003-07,227.333,
2003-10,322.876,
2004-01,401.949,
2004-04,174.307,
2004-07,713.744,
2004-10,896.979,
2005-01,1027.905,
2005-04,541.578,
2005-07,912.824,
2005-10,1333.873,
2006-01,1260.511,
2006-04,633.029,
2006-07,1321.296,
2006-10,921.564,
2007-01,2479.127,
2007-04,1786.995,
2007-07,2100.900,
2007-10,2463.574,
2008-01,2771.202,
2008-04,874.927,
2008-07,1268.591,
2008-10,1960.354,
2009-01,2044.350,
2009-04,1082.560,
2009-07,1713.633,
2009-10,1432.762,
2010-01,1509.644,
2010-04,483.059,
2010-07,1520.420,
2010-10,1807.432,
2011-01,1204.456,
2011-04,-165.731,
2011-07,1290.577,
2011-10,1521.212,
2012-01,1305.434,
2012-04,60.789,
2012-07,1333.949,
2012-10,2671.585,
2013-01,2285.513,
2013-04,1095.701,
2013-07,2283.791,
2013-10,2610.857,
2014-01,2344.895,Provisional value
2014-04,1160.770,Provisional value
2014-07,2534.916,Provisional value
