"",BBK01.OELB09Q,BBK01.OELB09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:58,
2002-01,1.738,
2002-04,1.754,
2002-07,1.769,
2002-10,1.772,
2003-01,1.778,
2003-04,1.760,
2003-07,1.774,
2003-10,1.726,
2004-01,1.736,
2004-04,1.783,
2004-07,1.842,
2004-10,1.817,
2005-01,1.857,
2005-04,1.875,
2005-07,1.792,
2005-10,1.814,
2006-01,1.852,
2006-04,2.360,
2006-07,2.352,
2006-10,2.313,
2007-01,2.328,
2007-04,2.367,
2007-07,2.436,
2007-10,2.494,
2008-01,2.544,
2008-04,2.602,
2008-07,2.642,
2008-10,2.677,
2009-01,2.726,
2009-04,2.779,
2009-07,2.834,
2009-10,2.933,
2010-01,3.025,
2010-04,3.155,
2010-07,3.243,
2010-10,3.362,
2011-01,3.435,
2011-04,3.529,
2011-07,3.499,
2011-10,3.220,
2012-01,3.274,
2012-04,3.383,
2012-07,3.450,
2012-10,3.530,
2013-01,3.655,
2013-04,3.749,
2013-07,3.797,
2013-10,3.933,
2014-01,4.070,
2014-04,4.146,
2014-07,4.358,
