"",BBK01.OEAH42Q,BBK01.OEAH42Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:13,
2002-01,0.417,
2002-04,0.383,
2002-07,0.408,
2002-10,0.370,
2003-01,0.403,
2003-04,0.353,
2003-07,0.383,
2003-10,0.335,
2004-01,0.297,
2004-04,0.235,
2004-07,0.229,
2004-10,0.220,
2005-01,0.205,
2005-04,0.197,
2005-07,0.193,
2005-10,0.175,
2006-01,0.181,
2006-04,0.174,
2006-07,0.169,
2006-10,0.148,
2007-01,0.189,
2007-04,0.171,
2007-07,0.160,
2007-10,0.150,
2008-01,0.159,
2008-04,0.151,
2008-07,0.140,
2008-10,0.145,
2009-01,0.150,
2009-04,0.136,
2009-07,0.115,
2009-10,0.113,
2010-01,0.106,
2010-04,0.104,
2010-07,0.094,
2010-10,0.091,
2011-01,0.088,
2011-04,0.084,
2011-07,0.077,
2011-10,0.073,
2012-01,0.069,
2012-04,0.066,
2012-07,0.064,
2012-10,0.061,
2013-01,0.059,
2013-04,0.055,
2013-07,0.054,
2013-10,0.052,
2014-01,0.050,
2014-04,0.046,
2014-07,0.045,
