"",BBK01.OEYB03L,BBK01.OEYB03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:05,
2002-01,18.178,
2002-04,17.985,
2002-07,18.846,
2002-10,20.812,
2003-01,20.578,
2003-04,17.797,
2003-07,20.128,
2003-10,19.505,
2004-01,20.238,
2004-04,21.134,
2004-07,21.570,
2004-10,22.513,
2005-01,22.177,
2005-04,22.944,
2005-07,25.336,
2005-10,22.593,
2006-01,21.347,
2006-04,21.514,
2006-07,20.432,
2006-10,19.424,
2007-01,20.197,
2007-04,20.404,
2007-07,22.664,
2007-10,25.931,
2008-01,31.010,
2008-04,26.699,
2008-07,33.169,
2008-10,32.038,
2009-01,30.495,
2009-04,30.889,
2009-07,25.944,
2009-10,25.211,
2010-01,24.556,
2010-04,24.570,
2010-07,23.912,
2010-10,22.943,
2011-01,21.831,
2011-04,20.937,
2011-07,20.965,
2011-10,20.771,
2012-01,20.329,
2012-04,20.179,
2012-07,19.150,
2012-10,18.681,
2013-01,19.152,
2013-04,19.899,
2013-07,21.608,
2013-10,22.184,
2014-01,22.602,
2014-04,22.680,
2014-07,22.234,
