"",BBEX3.A.LRD.EUR.CA.AA.A04,BBEX3.A.LRD.EUR.CA.AA.A04_FLAGS
"",Exchange rates (comparable rates) for the euro in Liberia  / EUR 1 = LRD ... (buying),
unit,LRD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:14:59,
2000,.,No value available
2001,.,No value available
2002,.,No value available
2003,.,No value available
2004,.,No value available
2005,.,No value available
2006,73.0687,
2007,84.5713,
2008,92.5084,
2009,95.5674,
2010,93.9271,
2011,100.5219,
2012,94.6024,
2013,102.8713,
2014,111.2468,
"","General: From December 2000 to December 2005, we have just information about middle rates for the US dollar and comparable rates for the euro.",
"","Source: Central Bank of Liberia, Monrovia",
"",Methodology: The comparable rates were calculated on the basis of the month-end rates for the US dollar in Liberia in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.,
