"",BBK01.OEAC20G,BBK01.OEAC20G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:45,
2002-01,7.913,
2002-04,8.550,
2002-07,7.844,
2002-10,8.093,
2003-01,7.661,
2003-04,7.275,
2003-07,7.135,
2003-10,7.138,
2004-01,7.014,
2004-04,7.281,
2004-07,6.661,
2004-10,6.575,
2005-01,6.535,
2005-04,6.494,
2005-07,6.387,
2005-10,6.329,
2006-01,6.410,
2006-04,6.496,
2006-07,6.292,
2006-10,6.325,
2007-01,6.275,
2007-04,6.356,
2007-07,6.294,
2007-10,6.480,
2008-01,6.777,
2008-04,6.873,
2008-07,7.208,
2008-10,6.687,
2009-01,6.847,
2009-04,6.919,
2009-07,6.735,
2009-10,6.128,
2010-01,5.886,
2010-04,5.909,
2010-07,5.660,
2010-10,5.578,
2011-01,5.697,
2011-04,5.721,
2011-07,5.837,
2011-10,5.651,
2012-01,6.018,
2012-04,6.273,
2012-07,6.049,
2012-10,5.739,
2013-01,5.988,
2013-04,5.939,
2013-07,5.766,
2013-10,5.232,
2014-01,5.446,
2014-04,5.643,
2014-07,5.585,
